Ïóòü 17.07.24_1_out.csv 17.07.24_2_in.csv 17.07.24_3_out.csv 17.07.24_4_in.csv 17.07.24_5_out.csv 17.07.24_6_in.csv 17.07.24_7_out.csv ÑÊÎ
12,17862 0,04400992 0,04375405 0,03948215 0,04643512 0,04606159 0,04379317 0,04379317 0,00209328
12,40415 0,044985 0,04453254 0,04067885 0,04749349 0,04711264 0,04479974 0,04479974 0,00205638
12,62968 0,04590899 0,04560233 0,04185353 0,04864419 0,04825602 0,04589864 0,04589864 0,00205151
12,85521 0,04681303 0,04664048 0,04284853 0,04977035 0,04937486 0,046973 0,046973 0,00209397
13,08074 0,04771175 0,04776443 0,043619 0,05086345 0,05046063 0,04801429 0,04801429 0,0021895
13,30627 0,04867487 0,04892853 0,04438224 0,05191655 0,0515064 0,04901559 0,04901559 0,00227394
13,5318 0,04965977 0,04999994 0,04521741 0,05294361 0,05252614 0,04999085 0,04999085 0,00233054
13,75733 0,0506188 0,0512628 0,04583309 0,05404983 0,05362504 0,05104527 0,05104527 0,00248063
13,98286 0,05150263 0,05234261 0,04661535 0,05499682 0,0545647 0,05194045 0,05194045 0,00253331
14,20839 0,05237305 0,0536106 0,04768801 0,05605758 0,05561814 0,0529494 0,0529494 0,00254061
14,43392 0,0533781 0,0550079 0,0487716 0,05730312 0,05685636 0,05414314 0,05414314 0,00260444
14,65945 0,0544657 0,05597574 0,04995551 0,05843667 0,05798258 0,05522489 0,05522489 0,00258453
14,88498 0,05566055 0,05734763 0,05111709 0,05977409 0,05931268 0,05651051 0,05651051 0,00264449
15,11051 0,05691083 0,05897763 0,05227813 0,06120859 0,06073985 0,0578932 0,0578932 0,00274396
15,33604 0,058256 0,06031095 0,05354244 0,06257563 0,06209957 0,05920845 0,05920845 0,00277345
15,56157 0,05970351 0,06164756 0,05478359 0,06376936 0,06346819 0,06053259 0,06053259 0,00277757
15,7871 0,0610097 0,06336085 0,05574594 0,06508547 0,06492046 0,06194038 0,06194038 0,00292775
16,01263 0,06186314 0,06475025 0,05628457 0,06579872 0,06595816 0,06293359 0,06293359 0,00307089
16,23816 0,06228565 0,06510018 0,05665804 0,0663044 0,06647042 0,06340138 0,06340138 0,00310403
16,46369 0,0624861 0,0649872 0,05675758 0,06643683 0,06667685 0,06356333 0,06356333 0,00310358
16,68922 0,06243887 0,06497461 0,05643178 0,06626413 0,06670168 0,06354368 0,06354368 0,00318711
16,91475 0,06219671 0,06457801 0,05648197 0,06615778 0,06649204 0,06328956 0,06328956 0,00310848
17,14028 0,06210252 0,06388571 0,05688647 0,06590776 0,06630354 0,06305658 0,06305658 0,00288678
17,36581 0,06217288 0,06408575 0,05724379 0,06585212 0,06651643 0,063225 0,063225 0,00281193
17,59134 0,06231691 0,06445058 0,05774156 0,0660013 0,06682835 0,06349244 0,06349244 0,00274625
17,81687 0,06258693 0,06499234 0,05816168 0,06596643 0,0672051 0,06382471 0,06382471 0,00269849
