Путь 17.07.24_1_out.csv_профиль_левый 17.07.24_1_out.csv_профиль_правый 17.07.24_2_in.csv_профиль_левый 17.07.24_2_in.csv_профиль_правый 17.07.24_3_out.csv_профиль_левый 17.07.24_3_out.csv_профиль_правый 17.07.24_4_in.csv_профиль_левый 17.07.24_4_in.csv_профиль_правый 17.07.24_5_out.csv_профиль_левый 17.07.24_5_out.csv_профиль_правый 17.07.24_6_in.csv_профиль_левый 17.07.24_6_in.csv_профиль_правый 17.07.24_7_out.csv_профиль_левый 17.07.24_7_out.csv_профиль_правый СКО_левый СКО_правый
25,000 0,02507366 0,01433824 0,02996059 0,01203284 0,02565291 0,0140613 0,02791765 0,01367024 0,0245147 0,01668035 0,02697992 0,01447879 0,02050713 0,02032932 0,00276206 0,00248821
26,000 0,02552826 0,01622793 0,03175242 0,01263491 0,02734234 0,01465743 0,03059849 0,01330339 0,02443988 0,01901473 0,02868459 0,01503769 0,02329252 0,01977252 0,00292674 0,00251951
27,000 0,02892764 0,01543053 0,03166892 0,01527822 0,02777782 0,0167434 0,03061483 0,01579874 0,02641321 0,01954539 0,0285143 0,01772633 0,02484664 0,02076849 0,00216608 0,00197827
28,000 0,02988884 0,01715423 0,03610046 0,01353223 0,03053178 0,01667196 0,0327304 0,01629358 0,02745122 0,02114571 0,03143166 0,01745657 0,02643661 0,02181909 0,00300535 0,00266184
29,000 0,03367901 0,01601813 0,03678026 0,01548868 0,03215496 0,01768739 0,03354422 0,01807183 0,02889142 0,02244382 0,03188555 0,01966336 0,02654872 0,02443099 0,00310376 0,00305914
30,000 0,03235075 0,01982942 0,03685788 0,01794921 0,03341564 0,01887722 0,03599586 0,01808496 0,03039985 0,023531 0,03431519 0,01978966 0,02865133 0,02492483 0,00271806 0,00252572
31,000 0,03331234 0,02132975 0,0374056 0,01981779 0,03312856 0,02153886 0,03563581 0,0208583 0,03036765 0,02602837 0,0354096 0,02116942 0,03158342 0,0244703 0,00227834 0,00205417
32,000 0,0345773 0,02244165 0,04048968 0,01917237 0,03572249 0,02129389 0,03710581 0,02177496 0,03282574 0,02595935 0,03619571 0,02280508 0,03233035 0,02612996 0,0025629 0,00232001
33,000 0,03437315 0,02496967 0,03867966 0,02328142 0,0355578 0,02372402 0,03794675 0,0232837 0,034236 0,02688009 0,03728337 0,02410157 0,03356851 0,02726443 0,00186951 0,00154358
34,000 0,03690325 0,02466344 0,04154107 0,02266303 0,03740827 0,02407608 0,04060999 0,02290823 0,03615986 0,02717775 0,03876131 0,02492034 0,03492572 0,02817624 0,00221383 0,00191299
