Путь Время,mc Скорость Отметка Шаблон Статус Курс Крен Тангаж Vn Ve Vh Широта Долгота Высота Ax Ay Az 
701,87207031250 64510 0 Piket 1490,59 <Интегр-Навиг> 62,7766 0,182115 -1,00187 -2,67792 1,59101 0 55,76386342775 37,72247898913 161,28462219238 -1,00212 8,92497 2,10216
688,33984375000 75882 -1,624 <_____> 1517,66 <Интегр-Навиг> 62,2299 -0,261855 -0,539575 -3,30394 1,99885 0 55,76376099024 37,72257295744 160,59408569336 -0,235178 8,33648 1,72426
687,88879394531 76301 -1,62378 <_____> 1516,45 <Интегр-Навиг> 62,1438 -0,172099 -0,46558 -3,29802 1,94496 0 55,76375754415 37,72257658097 160,56983947754 -0,956224 8,91477 0,774793
687,43768310547 76712 -1,62378 <_____> 1516,45 <Интегр-Навиг> 62,1562 -0,170177 -0,383605 -3,33605 1,97571 0 55,76375370185 37,72258038633 160,57696533203 -0,925789 9,21322 -0,338123
686,98663330078 77134 -1,624 <_____> 1516,45 <Интегр-Навиг> 62,1723 -0,078946 -0,282145 -3,1909 1,90676 0 55,76375028228 37,72258399278 160,55293273926 1,20534 10,9818 -0,48008
686,53552246094 77568 -1,62378 <_____> 1516,85 <Интегр-Навиг> 62,1782 -0,0193026 -0,196766 -3,20576 1,88777 0 55,76374617479 37,72258792653 160,58901977539 -0,623848 8,66525 1,4261
686,08447265625 77988 -1,624 <_____> 1518,67 <Интегр-Навиг> 62,1975 -0,0771071 -0,105821 -3,26357 1,94359 0 55,76374275071 37,72259152963 160,56584167480 -0,546113 9,56683 -1,10913
685,63342285156 78415 -1,62378 <_____> 1519,48 <Интегр-Навиг> 62,2463 -0,0251527 -0,0440607 -3,24018 1,93247 0 55,76373932453 37,72259514342 160,54190063477 1,03375 10,7985 -0,411533
685,18231201172 78839 -1,62378 <_____> 1519,68 <Интегр-Навиг> 62,2763 -0,00372525 -0,013383 -3,28543 1,9534 0 55,76373488449 37,72259913826 160,60659790039 1,16364 10,7046 0,304802
684,73126220703 79261 -1,624 <_____> 1519,68 <Интегр-Навиг> 62,2814 -0,0162913 -0,0005838 -3,23182 1,91251 0 55,76373146778 37,72260273150 160,58444213867 -1,27439 8,78983 0,0863397
684,28015136719 79682 0 <_____> 1519,88 <Интегр-Навиг> 62,2881 -0,0408337 -0,0142957 -3,2487 1,93802 0 55,76372774724 37,72260601375 160,68431091309 0,752784 10,7489 -0,944928
