Путь Время,mc Скорость Отметка Шаблон Статус Курс Крен Тангаж Vn Ve Vh Широта Долгота Высота Ax Ay Az 
701,87207031250 64510 0 Piket 1490,59 <Интегр-Навиг> 62,7766 0,182115 -1,00187 -2,67792 1,59101 0 55,76386342775 37,72247898913 161,28462219238 -1,00212 8,92497 2,10216
507,00784301758 220438 -1,62389 <_____> 1537,46 <Интегр-Навиг> 62,3846 0,0461455 0,661908 -4,9947 2,31638 0 55,76230540262 37,72391768384 161,97824096680 0,243423 10,0076 -1,27446
506,55676269531 220744 -3,24778 <_____> 1541,7 <Интегр-Навиг> 62,3447 0,0299233 0,640017 -4,95901 2,31453 0 55,76230230704 37,72392241310 161,98872375488 0,017188 9,86075 0,1669
506,10571289063 221049 -1,62389 <_____> 1545,34 <Интегр-Навиг> 62,2845 0,0494928 0,656218 -4,98863 2,31906 0 55,76229849277 37,72392556096 161,99902343750 -0,129512 9,09763 0,773838
505,65463256836 221356 -1,62378 <_____> 1547,97 <Интегр-Навиг> 62,2641 0,0258707 0,645293 -4,90143 2,27977 0 55,76229469276 37,72392869762 162,00912475586 -0,810102 9,66797 -0,840076
505,20355224609 221677 -1,62389 <_____> 1548,98 <Интегр-Навиг> 62,2499 0,0773065 0,633428 -4,72829 2,1802 0 55,76229199481 37,72393278490 162,11584472656 -0,318502 9,97701 -0,856108
504,75247192383 221991 -1,62389 <_____> 1549,38 <Интегр-Навиг> 62,2042 0,0980462 0,628209 -5,00114 2,33837 0 55,76228821326 37,72393590666 162,12748718262 0,270253 10,1098 1,85967
504,30139160156 222286 -3,24778 <_____> 1548,98 <Интегр-Навиг> 62,1858 0,177781 0,63324 -5,29112 2,47757 0 55,76228445723 37,72393903188 162,13859558105 0,0549182 10,0134 -0,379297
503,85034179688 222569 -1,62389 <_____> 1548,17 <Интегр-Навиг> 62,1638 0,0128255 0,643642 -5,3668 2,54027 0 55,76228190678 37,72394342980 162,21865844727 0,53332 10,2628 -0,368098
503,39926147461 222854 -1,62389 <_____> 1546,55 <Интегр-Навиг> 62,1367 0,0876711 0,653928 -5,26909 2,48098 0 55,76227810632 37,72394662058 162,23077392578 -0,198533 9,36481 -1,2117
502,94818115234 223144 -3,24767 <_____> 1545,54 <Интегр-Навиг> 62,1273 0,0211513 0,631311 -5,19761 2,43541 0 55,76227427027 37,72394983222 162,24307250977 -0,17938 9,66356 -0,527955
502,49710083008 223440 -1,62389 <_____> 1543,93 <Интегр-Навиг> 62,1522 0,015612 0,656415 -5,05066 2,37502 0 55,76227051195 37,72395296517 162,30888366699 0,75931 9,9374 0,0290715
502,04602050781 223746 -1,62389 <_____> 1541,7 <Интегр-Навиг> 62,1499 0,0789575 0,654131 -4,945 2,31601 0 55,76226749182 37,72395725076 162,32293701172 0,210957 9,57452 1,05824
501,59497070313 224056 -1,62389 Piket 1538,67 <Интегр-Навиг> 62,1348 0,0529077 0,670773 -4,92004 2,30762 0 55,76226364554 37,72396044341 162,33721923828 0,345404 9,27761 1,35932
501,14389038086 224367 -3,24767 <_____> 1536,45 <Интегр-Навиг> 62,1232 -0,00102486 0,683827 -4,78263 2,2474 0 55,76225990549 37,72396354415 162,35121154785 -0,243059 10,363 -0,661904
500,69281005859 224691 -1,62389 <_____> 1533,22 <Интегр-Навиг> 62,1507 -0,0076484 0,716306 -4,70459 2,17267 0 55,76225664110 37,72396756927 162,44059753418 0,0699118 10,2409 -1,07015
500,24172973633 225008 -1,62389 <_____> 1530,19 <Интегр-Навиг> 62,1907 0,0104277 0,720022 -4,9083 2,30902 0 55,76225289158 37,72397066366 162,45643615723 -0,0585492 9,60358 -0,495398
499,79064941406 225310 -1,62389 <_____> 1527,97 <Интегр-Навиг> 62,226 0,0514305 0,749058 -5,13482 2,39078 0 55,76224904428 37,72397385437 162,47210693359 0,121554 9,59802 -0,375882
499,33956909180 225604 -1,62389 <_____> 1525,74 <Интегр-Навиг> 62,2217 0,0242895 0,746168 -5,18591 2,41975 0 55,76224568607 37,72397926357 162,57238769531 -0,0609462 10,1147 -1,10529
498,88851928711 225896 -3,24778 <_____> 1523,52 <Интегр-Навиг> 62,22 0,0402939 0,74165 -5,22026 2,46245 0 55,76224189074 37,72398243159 162,58834838867 -0,207519 9,67564 0,511173
498,43743896484 226186 -1,62378 <_____> 1521,7 <Интегр-Навиг> 62,1784 0,0989362 0,735491 -5,28854 2,48396 0 55,76223813937 37,72398556014 162,60383605957 0,156861 9,56909 -1,16969
497,98635864258 226472 -1,62378 <_____> 1520,89 <Интегр-Навиг> 62,2097 -0,00976978 0,721101 -5,30593 2,49446 0 55,76223434730 37,72398872078 162,70231628418 -0,154592 10,7576 -0,9915
497,53527832031 226766 -3,24778 <_____> 1519,28 <Интегр-Навиг> 62,2635 -0,0133392 0,708605 -5,07145 2,3664 0 55,76223100343 37,72399381873 162,71961975098 0,236201 9,8191 0,482554
497,08419799805 227068 -1,62389 <_____> 1517,46 <Интегр-Навиг> 62,3333 -0,0145148 0,698046 -5,06232 2,35625 0 55,76222722319 37,72399695048 162,73760986328 0,24312 9,54727 -0,714188
496,63314819336 227366 -1,62389 <_____> 1516,85 <Интегр-Навиг> 62,3586 -0,0374486 0,692583 -5,11206 2,37771 0 55,76222340745 37,72400010023 162,75559997559 0,4441 10,0268 -1,03755
496,18206787109 227664 -1,62389 <_____> 1516,65 <Интегр-Навиг> 62,3555 -0,0688349 0,67967 -5,04333 2,35305 0 55,76222048392 37,72400415817 162,84275817871 0,175617 9,72079 -0,673105
495,73098754883 227970 -3,24767 <_____> 1516,25 <Интегр-Навиг> 62,3075 -0,0377637 0,671406 -4,95578 2,30642 0 55,76221666918 37,72400730958 162,86274719238 0,119345 10,1468 0,356921
495,27990722656 228276 -1,62389 <_____> 1515,44 <Интегр-Навиг> 62,2196 -0,0238071 0,678111 -4,98756 2,32839 0 55,76221287361 37,72401044787 162,88262939453 0,149295 10,2035 0,191069
494,82882690430 228579 -1,62389 <_____> 1514,83 <Интегр-Навиг> 62,1338 0,100215 0,688214 -5,02179 2,36316 0 55,76220976212 37,72401425602 162,94323730469 0,257878 10,0677 -0,226337
494,37774658203 228885 -1,62389 <_____> 1514,23 <Интегр-Навиг> 62,1212 0,0267898 0,709682 -4,87889 2,28292 0 55,76220596179 37,72401740816 162,96348571777 0,159161 9,72922 1,0363
493,92669677734 229203 -1,62389 <_____> 1514,02 <Интегр-Навиг> 62,1477 0,055887 0,720112 -4,83046 2,24011 0 55,76220211325 37,72402058408 162,98440551758 0,37605 9,64372 1,40898
493,47561645508 229517 -3,24767 <_____> 1513,82 <Интегр-Навиг> 62,165 0,0836757 0,720324 -4,90103 2,28845 0 55,76219912471 37,72402363437 162,98664855957 0,614335 9,93833 -1,13976
493,02453613281 229822 -1,62389 <_____> 1513,82 <Интегр-Навиг> 62,1625 -0,0268565 0,724284 -4,99371 2,32765 0 55,76219539872 37,72402671536 163,00611877441 0,336349 10,1176 -0,186218
492,57345581055 230128 -1,62389 <_____> 1513,82 <Интегр-Навиг> 62,1236 -0,00163263 0,712237 -4,93719 2,30702 0 55,76219160435 37,72402985490 163,02624511719 0,411442 10,4881 -1,31743
492,12237548828 230431 -1,62389 <_____> 1513,82 <Интегр-Навиг> 62,0904 0,00362936 0,72174 -5,0884 2,36203 0 55,76218776830 37,72403303187 162,99201965332 -0,332567 9,74309 -0,872853
491,67132568359 230728 -3,24778 <_____> 1513,82 <Интегр-Навиг> 62,0727 0,0400855 0,740991 -5,12744 2,4157 0 55,76218480500 37,72403617219 163,01051330566 0,12696 9,64755 0,57659
491,22024536133 231025 -1,62378 <_____> 1513,62 <Интегр-Навиг> 62,0614 0,0124251 0,732946 -5,06833 2,36108 0 55,76218097921 37,72403934721 163,02920532227 0,999324 9,73748 0,947746
490,76916503906 231328 -1,62389 <_____> 1513,62 <Интегр-Навиг> 62,0892 0,0346763 0,722767 -5,00998 2,33379 0 55,76217722747 37,72404245021 163,04772949219 0,203317 10,2973 -0,00612298
490,31808471680 231631 -1,62389 <_____> 1513,82 <Интегр-Навиг> 62,1265 0,00394486 0,694826 -5,03774 2,36664 0 55,76217392020 37,72404710065 163,00482177734 -0,251739 10,3672 -0,0748043
489,86700439453 231931 -3,24778 <_____> 1513,62 <Интегр-Навиг> 62,1135 0,00425901 0,650965 -5,07388 2,37694 0 55,76217013750 37,72405023897 163,02250671387 -0,23657 9,29086 1,4104
489,41595458984 232232 -1,62389 <_____> 1513,42 <Интегр-Навиг> 62,0975 -0,000711288 0,611631 -5,0397 2,34244 0 55,76216635072 37,72405337881 163,04002380371 -0,103319 9,86719 -1,05409
488,96487426758 232534 -1,62378 <_____> 1513,22 <Интегр-Навиг> 62,1799 0,0066305 0,585523 -5,07524 2,35557 0 55,76216279931 37,72405663686 163,00575256348 0,242396 9,81053 -0,497608
488,51379394531 232831 -1,62378 <_____> 1513,22 <Интегр-Навиг> 62,2434 0,0404224 0,559264 -5,14778 2,39584 0 55,76215896952 37,72405978873 163,02259826660 -0,0197378 9,68318 0,622177
488,06271362305 233127 -3,24778 <_____> 1513,22 <Интегр-Навиг> 62,2872 0,0776903 0,548274 -5,1328 2,38203 0 55,76215520031 37,72406289986 163,03868103027 -0,223095 9,73668 -0,87283
487,61163330078 233423 -1,62389 <_____> 1513,01 <Интегр-Навиг> 62,2521 0,0797381 0,567068 -5,06511 2,32969 0 55,76215137172 37,72406603469 163,02600097656 0,115869 9,49385 -0,43111
487,16058349609 233724 -1,62389 <_____> 1512,21 <Интегр-Навиг> 62,2046 0,155832 0,581351 -5,03855 2,3295 0 55,76214815742 37,72407116932 163,04200744629 0,914907 9,96777 -0,327789
486,70950317383 234024 -1,62389 <_____> 1510,79 <Интегр-Навиг> 62,2337 0,144272 0,603954 -5,07987 2,35738 0 55,76214436792 37,72407427960 163,05780029297 0,0671288 9,80474 1,30019
486,25842285156 234323 -3,24767 <_____> 1510,39 <Интегр-Навиг> 62,2233 0,099665 0,625894 -5,08323 2,36005 0 55,76214055653 37,72407740608 163,07365417480 0,761477 9,72741 0,204276
485,80734252930 234621 -1,62389 <_____> 1510,19 <Интегр-Навиг> 62,255 0,12477 0,628954 -5,11215 2,35105 0 55,76213673888 37,72408202021 163,01719665527 -0,349233 9,58833 1,17292
485,35626220703 234918 -1,62389 <_____> 1509,98 <Интегр-Навиг> 62,2689 0,0760815 0,636605 -5,08233 2,35548 0 55,76213291691 37,72408515331 163,03187561035 0,16048 9,54907 0,702865
484,90518188477 235219 -1,62389 <_____> 1509,98 <Интегр-Навиг> 62,2958 0,128007 0,632269 -5,06672 2,33679 0 55,76212912176 37,72408825923 163,04644775391 -0,0807522 10,0681 -1,3838
484,45413208008 235520 -3,24778 <_____> 1509,98 <Интегр-Навиг> 62,3036 0,164644 0,642847 -5,04872 2,33311 0 55,76212532616 37,72409135907 162,94026184082 0,416607 10,2694 0,465911
484,00305175781 235818 -1,62378 <_____> 1509,98 <Интегр-Навиг> 62,3099 0,219357 0,619842 -5,19078 2,40697 0 55,76212156906 37,72409632930 162,95231628418 0,331627 9,65228 1,67833
483,55197143555 236106 -1,62389 <_____> 1509,98 <Интегр-Навиг> 62,3311 0,198379 0,616763 -5,34886 2,46891 0 55,76211778207 37,72409943931 162,96394348145 0,299373 9,28762 -1,48115
483,10089111328 236388 -1,62389 <_____> 1510,19 <Интегр-Навиг> 62,3487 0,126971 0,58926 -5,35714 2,48128 0 55,76211403576 37,72410251917 162,97480773926 0,294347 10,1372 1,31184
482,64981079102 236676 -3,24778 <_____> 1510,39 <Интегр-Навиг> 62,3846 0,143297 0,584078 -5,23227 2,42273 0 55,76211053036 37,72410651319 162,79914855957 0,249029 10,1103 -0,784808
482,19876098633 236967 -1,62389 <_____> 1510,59 <Интегр-Навиг> 62,346 0,110565 0,548114 -5,17172 2,38233 0 55,76210680172 37,72410957044 162,80792236328 -0,0634212 9,54456 -1,15979
481,74768066406 237263 -1,62389 Piket 1511,4 <Интегр-Навиг> 62,2948 0,142791 0,533839 -5,08562 2,36306 0 55,76210296113 37,72411272074 162,81692504883 0,607699 10,2981 -0,308753
481,29660034180 237562 -3,24767 <_____> 1513,62 <Интегр-Навиг> 62,1736 0,0825952 0,49064 -5,01857 2,33628 0 55,76209913977 37,72411765253 162,63464355469 0,580077 9,78447 0,439635
480,84552001953 237868 -1,62389 <_____> 1515,03 <Интегр-Навиг> 62,1186 0,154429 0,445369 -4,92532 2,28698 0 55,76209540484 37,72412072604 162,64094543457 -0,450716 9,66413 -0,731475
480,39443969727 238176 -1,62389 <_____> 1515,24 <Интегр-Навиг> 62,0844 0,213996 0,396017 -4,91763 2,28721 0 55,76209154221 37,72412390465 162,64715576172 0,390752 9,55898 1,03656
479,94335937500 238488 -1,62389 <_____> 1515,64 <Интегр-Навиг> 62,0625 0,16096 0,374661 -4,86967 2,25445 0 55,76208780546 37,72412697907 162,42523193359 0,768249 9,8516 0,848305
479,49230957031 238803 -1,62389 <_____> 1515,84 <Интегр-Навиг> 62,0828 0,138531 0,32508 -4,80618 2,23111 0 55,76208507713 37,72413251337 162,42782592773 -0,245555 10,2017 -0,0321642
479,04122924805 239120 -3,24767 <_____> 1515,84 <Интегр-Навиг> 62,1344 0,0774749 0,281421 -4,78986 2,22719 0 55,76208132408 37,72413560366 162,43040466309 -0,294755 10,0272 -1,39642
478,59014892578 239438 -1,62389 <_____> 1515,64 <Интегр-Навиг> 62,1584 0,0441832 0,221874 -4,79009 2,20944 0 55,76207748534 37,72413875701 162,18931579590 0,0866661 9,56758 -1,18907
478,13906860352 239754 -1,62389 <_____> 1515,44 <Интегр-Навиг> 62,1829 -0,0122583 0,151877 -4,82872 2,23368 0 55,76207546745 37,72414213431 162,18836975098 -0,24139 9,63504 0,861562
477,68798828125 240069 -1,62389 <_____> 1515,24 <Интегр-Навиг> 62,1759 0,0468928 0,106049 -4,85317 2,24629 0 55,76207167942 37,72414524706 162,18774414063 -0,0536998 10,118 -1,55517
477,23693847656 240380 -3,24778 <_____> 1515,24 <Интегр-Навиг> 62,2033 -0,012233 0,0632913 -4,89889 2,26806 0 55,76206786762 37,72414838211 162,18725585938 0,00437815 9,89138 -0,489538
476,78585815430 240692 -1,62378 <_____> 1515,03 <Интегр-Навиг> 62,1514 -0,0539846 0,0203663 -4,84526 2,26834 0 55,76206551210 37,72415201409 161,99632263184 0,278293 10,0364 0,0139337
476,33477783203 241008 -1,62389 <_____> 1515,24 <Интегр-Навиг> 62,1272 -0,0872394 -0,00186229 -4,75458 2,22012 0 55,76206174925 37,72415511348 161,99328613281 -0,512155 9,65893 -0,584052
475,88369750977 241327 -1,62389 <_____> 1515,64 <Интегр-Навиг> 62,0958 -0,0744113 -0,0307264 -4,76058 2,21475 0 55,76205795116 37,72415823940 161,99038696289 0,120956 9,91044 -0,720414
475,43261718750 241644 -1,62389 <_____> 1515,84 <Интегр-Навиг> 62,0766 -0,097633 -0,0227315 -4,80699 2,23753 0 55,76205505850 37,72416139619 161,82719421387 -0,360196 9,83628 -1,1006
474,98156738281 241959 -3,24778 <_____> 1515,84 <Интегр-Навиг> 62,064 -0,0715887 -0,0371354 -4,82432 2,23486 0 55,76205129979 37,72416449728 161,82191467285 -0,182957 9,47033 1,46461
474,53048706055 242273 -1,62378 <_____> 1515,84 <Интегр-Навиг> 62,1097 -0,0514289 -0,0313081 -4,87884 2,28128 0 55,76204750184 37,72416762389 161,81657409668 -0,201649 10,137 -0,900158
474,07940673828 242582 -1,62389 <_____> 1515,64 <Интегр-Навиг> 62,1333 -0,0395173 -0,0351787 -4,94619 2,29495 0 55,76204441104 37,72417037286 161,67410278320 0,160485 9,54812 1,50654
473,62832641602 242889 -1,62389 <_____> 1515,64 <Интегр-Навиг> 62,1351 0,00485094 -0,0443273 -4,92624 2,29123 0 55,76204055206 37,72417355789 161,66592407227 0,277362 10,0984 -0,8175
473,17724609375 243197 -1,62389 <_____> 1515,64 <Интегр-Навиг> 62,1403 -0,0350844 -0,0797793 -4,90524 2,27854 0 55,76203678300 37,72417665999 161,65780639648 0,0343642 9,08881 1,24105
472,72619628906 243510 -3,24778 <_____> 1515,64 <Интегр-Навиг> 62,1638 -0,0145765 -0,106635 -4,79415 2,21541 0 55,76203431270 37,72418053871 161,57626342773 -0,459139 10,0462 -0,800214
472,27511596680 243826 -1,62378 <_____> 1515,64 <Интегр-Навиг> 62,1953 0,0114718 -0,138331 -4,8158 2,23607 0 55,76203054767 37,72418363275 161,56661987305 0,42547 9,41999 0,876984
471,82403564453 244144 -1,62389 Piket 1515,64 <Интегр-Навиг> 62,2013 0,035026 -0,180852 -4,73281 2,188 0 55,76202673377 37,72418675896 161,55625915527 -0,145707 9,19781 1,07391
471,37295532227 244471 -1,62389 <_____> 1515,64 <Интегр-Навиг> 62,2209 0,122968 -0,193622 -4,60667 2,1142 0 55,76202293187 37,72418986614 161,54528808594 -0,176096 9,76216 0,116677
470,92187500000 244801 -3,24778 <_____> 1516,45 <Интегр-Навиг> 62,2043 0,234008 -0,216879 -4,68233 2,16148 0 55,76201902649 37,72419444985 161,50332641602 1,19395 10,7858 -0,0298137
470,47079467773 245124 -1,62389 <_____> 1517,05 <Интегр-Навиг> 62,1528 0,30132 -0,241565 -4,694 2,16889 0 55,76201518825 37,72419759061 161,49095153809 0,0231084 9,83847 -0,0824609
470,01974487305 245446 -1,62389 <_____> 1517,05 <Интегр-Навиг> 62,136 0,365587 -0,258895 -4,72548 2,18518 0 55,76201142451 37,72420067528 161,47825622559 -0,522912 9,09571 -0,961322
469,56866455078 245766 -1,62378 <_____> 1517,05 <Интегр-Навиг> 62,1734 0,291723 -0,302459 -4,7995 2,22369 0 55,76200905370 37,72420330785 161,45942687988 -0,24528 10,2181 -1,17825
469,11758422852 246076 -1,62389 <_____> 1517,05 <Интегр-Навиг> 62,2588 0,295173 -0,268883 -4,97785 2,30581 0 55,76200523290 37,72420643762 161,44715881348 -0,188288 9,66917 0,212608
468,66650390625 246378 -1,62389 <_____> 1516,85 <Интегр-Навиг> 62,3262 0,228832 -0,295969 -5,01765 2,31736 0 55,76200147749 37,72420951789 161,43496704102 0,298662 9,85482 0,613837
468,21542358398 246686 -3,24778 <_____> 1516,85 <Интегр-Навиг> 62,3253 0,239262 -0,28576 -4,83488 2,22958 0 55,76199891595 37,72421240174 161,49145507813 -0,224694 10,3149 -1,50849
467,76437377930 246996 -1,62389 <_____> 1516,85 <Интегр-Навиг> 62,2701 0,252154 -0,277153 -4,9072 2,26053 0 55,76199510972 37,72421551655 161,48056030273 0,181197 9,77292 -0,811676
467,31329345703 247306 -1,62378 <_____> 1516,85 <Интегр-Навиг> 62,2526 0,240882 -0,281046 -4,86789 2,2431 0 55,76199136411 37,72421857613 161,47015380859 -1,00024 9,13388 0,66021
466,86221313477 247624 -1,62378 <_____> 1517,05 <Интегр-Навиг> 62,279 0,138347 -0,287145 -4,64838 2,12921 0 55,76198834061 37,72422296350 161,61332702637 -0,262798 9,31901 0,476811
466,41113281250 247956 -3,24778 <_____> 1517,05 <Интегр-Навиг> 62,3046 0,162009 -0,300349 -4,57607 2,09265 0 55,76198453610 37,72422605701 161,60513305664 -0,554686 10,0785 -0,64099
465,96005249023 248285 -1,62389 <_____> 1517,05 <Интегр-Навиг> 62,3232 0,137795 -0,32562 -4,68435 2,14106 0 55,76198075750 37,72422912483 161,59715270996 0,118424 9,88355 0,592135
465,50897216797 248609 -1,62389 <_____> 1517,05 <Интегр-Навиг> 62,3331 0,0563048 -0,356457 -4,64371 2,14294 0 55,76197763690 37,72423297032 161,78746032715 -0,0316899 10,2408 -1,35301
465,05792236328 248943 -1,62389 <_____> 1517,05 <Интегр-Навиг> 62,3268 0,0231233 -0,407392 -4,46511 2,0251 0 55,76197377822 37,72423609993 161,78347778320 -0,214719 9,10796 0,304149
464,60684204102 249281 -1,62378 <_____> 1518,27 <Интегр-Навиг> 62,312 0,0337861 -0,453994 -4,56142 2,07823 0 55,76197003863 37,72423912381 161,77960205078 -0,511388 9,4389 1,42403
464,15576171875 249608 -1,62378 <_____> 1518,67 <Интегр-Навиг> 62,3409 -0,00406665 -0,491103 -4,6915 2,15782 0 55,76196696617 37,72424367978 161,96228027344 -0,140805 9,34374 0,117911
463,70468139648 249936 -3,24778 <_____> 1518,67 <Интегр-Навиг> 62,2899 -0,0431187 -0,495779 -4,52481 2,07208 0 55,76196312404 37,72424682208 161,96255493164 0,337921 8,92657 0,819236
463,25360107422 250271 -1,62389 <_____> 1518,27 <Интегр-Навиг> 62,3466 -0,0981203 -0,561813 -4,59982 2,10109 0 55,76195935744 37,72424988908 161,96321105957 0,450527 10,6071 -0,193847
462,80255126953 250595 -1,62389 <_____> 1517,05 <Интегр-Навиг> 62,3836 -0,253378 -0,588995 -4,71726 2,16804 0 55,76195604363 37,72425432074 162,12882995605 -0,413582 11,1094 -0,512687
462,35147094727 250916 -1,62378 <_____> 1517,05 <Интегр-Навиг> 62,4763 -0,322394 -0,649514 -4,70716 2,16509 0 55,76195218325 37,72425746888 162,13352966309 0,144514 9,45504 0,944569
461,90039062500 251245 -1,62378 Piket 1517,05 <Интегр-Навиг> 62,4952 -0,259067 -0,71379 -4,58454 2,1021 0 55,76194841271 37,72426053270 162,13821411133 -0,209022 10,1568 -0,839906
461,44931030273 251575 -3,24778 <_____> 1517,66 <Интегр-Навиг> 62,4966 -0,214244 -0,777798 -4,6827 2,13213 0 55,76194507571 37,72426398371 162,25344848633 -0,30781 9,33009 0,69806
460,99822998047 251899 -1,62389 <_____> 1519,08 <Интегр-Навиг> 62,5265 -0,250837 -0,832936 -4,70828 2,14123 0 55,76194124976 37,72426708350 162,26002502441 -0,496794 9,14309 0,508032
460,54718017578 252225 -1,62389 <_____> 1519,68 <Интегр-Навиг> 62,3904 -0,186211 -0,845031 -4,57895 2,09729 0 55,76193744402 37,72427018192 162,26580810547 -1,24455 9,39653 -0,313265
460,09609985352 252558 -1,62378 <_____> 1520,29 <Интегр-Навиг> 62,2885 0,0624657 -0,828048 -4,5813 2,10846 0 55,76193420821 37,72427358834 162,34922790527 -0,356648 9,83302 -0,376122
459,64501953125 252887 -1,62389 <_____> 1520,49 <Интегр-Навиг> 62,2791 0,00797873 -0,786049 -4,63945 2,13681 0 55,76193044621 37,72427665886 162,35572814941 -0,182635 9,53037 0,642935
459,19393920898 253215 -1,62389 <_____> 1520,49 <Интегр-Навиг> 62,2468 0,0752492 -0,743563 -4,55353 2,104 0 55,76192667780 37,72427973159 162,36196899414 0,296941 10,0695 -0,632934
458,74285888672 253556 -3,24778 <_____> 1520,49 <Интегр-Навиг> 62,2829 0,117952 -0,687484 -4,45869 2,03015 0 55,76192274940 37,72428297696 162,36534118652 -0,615293 9,58899 -0,286544
458,29180908203 253895 -1,62389 <_____> 1520,09 <Интегр-Навиг> 62,3201 0,0409966 -0,63073 -4,51947 2,05348 0 55,76191901624 37,72428599006 162,37152099609 -0,602865 9,64436 0,154057
457,84072875977 254233 -1,62378 <_____> 1519,08 <Интегр-Навиг> 62,3509 0,0550237 -0,586506 -4,51094 2,04801 0 55,76191518407 37,72428908709 162,37789916992 -0,378137 9,87639 -0,461324
457,38964843750 254572 -1,62389 <_____> 1517,66 <Интегр-Навиг> 62,3334 0,110538 -0,552574 -4,50413 2,042 0 55,76191136161 37,72429217245 162,36601257324 -0,204392 9,82833 -0,580061
456,93856811523 254906 -1,62389 <_____> 1517,05 <Интегр-Навиг> 62,3155 0,199273 -0,531526 -4,65931 2,13612 0 55,76190744007 37,72429566216 162,37121582031 0,401782 9,88419 -0,36495
456,48748779297 255229 -1,62389 <_____> 1517,05 <Интегр-Навиг> 62,299 0,20634 -0,508044 -4,73312 2,15404 0 55,76190360856 37,72429876938 162,37588500977 -0,226186 9,76064 -0,57616
456,03640747070 255550 -3,24778 <_____> 1517,86 <Интегр-Навиг> 62,2759 0,190482 -0,490317 -4,72543 2,16775 0 55,76190183743 37,72430243449 162,34902954102 0,0642976 9,8193 0,438282
455,58535766602 255871 -1,62389 <_____> 1519,68 <Интегр-Навиг> 62,2764 0,256279 -0,45863 -4,73221 2,175 0 55,76189807039 37,72430550361 162,35284423828 -0,0912002 9,57121 -0,00704569
455,13427734375 256187 -1,62378 <_____> 1520,69 <Интегр-Навиг> 62,2478 0,232501 -0,442736 -4,83653 2,22561 0 55,76189432598 37,72430856400 162,35644531250 -0,0991153 10,1161 -0,396408
454,68319702148 256498 -1,62389 <_____> 1521,5 <Интегр-Навиг> 62,2118 0,247633 -0,415572 -4,87787 2,25559 0 55,76189053068 37,72431167131 162,33978271484 -0,426373 9,7609 0,459349
454,23211669922 256811 -1,62389 <_____> 1522,91 <Интегр-Навиг> 62,1472 0,203987 -0,392228 -4,75711 2,19382 0 55,76188838029 37,72431434696 162,34315490723 -0,154362 9,35388 0,0796886
453,78103637695 257131 -3,24778 <_____> 1523,72 <Интегр-Навиг> 62,1246 0,178734 -0,378034 -4,76979 2,20388 0 55,76188460031 37,72431744616 162,34657287598 0,120216 9,87305 0,245519
453,32998657227 257446 -1,62389 <_____> 1524,73 <Интегр-Навиг> 62,1196 0,212592 -0,388425 -4,81732 2,24565 0 55,76188084693 37,72432053251 162,35002136230 -0,0623558 10,1938 -0,404069
452,87890625000 257759 -1,62378 <_____> 1525,54 <Интегр-Навиг> 62,1649 0,106548 -0,422757 -4,83195 2,2422 0 55,76187824125 37,72432367900 162,34648132324 0,0924207 9,87056 0,0527739
452,42782592773 258074 -1,62378 <_____> 1526,75 <Интегр-Навиг> 62,2164 0,11795 -0,442862 -4,77793 2,20199 0 55,76187449082 37,72432675874 162,35002136230 -0,392762 9,49036 0,045561
451,97674560547 258389 -3,24778 Piket 1527,97 <Интегр-Навиг> 62,2134 0,0827414 -0,472103 -4,82558 2,24279 0 55,76187073724 37,72432984415 162,35359191895 0,0534942 10,3276 -0,438238
451,52566528320 258701 -1,62389 <_____> 1529,38 <Интегр-Навиг> 62,1856 0,0801328 -0,485879 -4,82298 2,23411 0 55,76186750732 37,72433333358 162,34150695801 0,270115 10,0163 0,511664
451,07458496094 259016 -1,62389 <_____> 1530,59 <Интегр-Навиг> 62,1504 -0,00657326 -0,516986 -4,76387 2,19721 0 55,76186367203 37,72433648192 162,34553527832 -0,142106 9,73376 -0,886616
450,62353515625 259336 -1,62389 <_____> 1531,8 <Интегр-Навиг> 62,1521 0,0265498 -0,558608 -4,70948 2,18466 0 55,76185990448 37,72433957626 162,34947204590 -0,204249 9,80486 0,0046913
450,17245483398 259656 -1,62389 <_____> 1532,41 <Интегр-Навиг> 62,1287 0,0477945 -0,581186 -4,74028 2,19203 0 55,76185643914 37,72434449473 162,34742736816 0,012263 9,40736 1,02069
449,72137451172 259976 -3,24767 <_____> 1533,22 <Интегр-Навиг> 62,0774 0,0297968 -0,606378 -4,70531 2,19006 0 55,76185267446 37,72434759928 162,35145568848 -0,0194311 10,0708 0,233878
449,27029418945 260299 -1,62389 <_____> 1535,04 <Интегр-Навиг> 62,0073 0,0109308 -0,638739 -4,60408 2,15721 0 55,76184895628 37,72435067023 162,35540771484 0,213271 10,3685 0,409685
448,81921386719 260628 -1,62389 <_____> 1536,25 <Интегр-Навиг> 61,8907 0,0743059 -0,665295 -4,63035 2,15865 0 55,76184585573 37,72435468053 162,34344482422 -0,597971 9,11417 0,116256
448,36816406250 260949 -1,62389 <_____> 1537,66 <Интегр-Навиг> 61,7918 0,051688 -0,686339 -4,6931 2,1996 0 55,76184204285 37,72435785498 162,34733581543 -0,188291 9,16381 1,41913
447,91708374023 261271 -1,62389 <_____> 1538,88 <Интегр-Навиг> 61,7279 0,0330805 -0,696423 -4,65286 2,19009 0 55,76183831522 37,72436096756 162,35101318359 0,0546395 10,8092 -1,4304
