Путь Время,mc Скорость Отметка Шаблон Статус Курс Крен Тангаж Vn Ve Vh Широта Долгота Высота Ax Ay Az 
-563,84326171875 25551 0 <_____> 1509,18 <Интегр-Навиг> 62,9958 0,206987 -1,03022 -1,23787 0,900782 0 55,76385256317 37,72251757765 170,37977600098 -0,117152 10,5276 -0,108234
-564,29431152344 26403 0 Piket 1509,58 <Интегр-Навиг> 63,0014 0,179152 -0,988841 -1,61193 1,10008 0 55,76384809329 37,72252130265 170,23818969727 -0,132457 9,65104 -0,0303208
-564,74542236328 27133 0 <_____> 1510,39 <Интегр-Навиг> 62,9242 0,156274 -0,942027 -1,92114 1,2689 0 55,76384491186 37,72252507255 170,29428100586 -0,217751 10,3984 -0,224976
-565,19647216797 27734 0 <_____> 1510,59 <Интегр-Навиг> 62,8253 0,176564 -0,933903 -2,38012 1,50041 0 55,76384225024 37,72252680259 170,09774780273 0,753392 10,556 -1,14866
-565,64752197266 28273 -1,62378 <_____> 1510,59 <Интегр-Навиг> 62,7724 0,111345 -0,887773 -2,41719 1,52019 0 55,76383899894 37,72253040790 170,13238525391 -0,903142 9,45184 -0,0468371
-566,09863281250 28824 -1,62378 <_____> 1510,59 <Интегр-Навиг> 62,741 0,111332 -0,867682 -2,44768 1,53156 0 55,76383512030 37,72253300761 169,89389038086 0,152098 10,0607 -0,449819
-566,54968261719 29348 0 <_____> 1510,59 <Интегр-Навиг> 62,756 0,162171 -0,824614 -2,55516 1,59153 0 55,76383180738 37,72253666218 169,65972900391 0,502106 10,3965 -0,356985
-567,00079345703 29871 -1,62378 <_____> 1510,59 <Интегр-Навиг> 62,7795 0,0922339 -0,769933 -2,52073 1,56171 0 55,76382760443 37,72253879430 169,67985534668 -0,819327 9,56206 0,565364
-567,45184326172 30379 -1,624 <_____> 1510,59 <Интегр-Навиг> 62,7362 0,147265 -0,697712 -2,72401 1,66947 0 55,76382431104 37,72254240297 169,44004821777 0,619559 10,2749 -0,0869713
-567,90289306641 30870 0 <_____> 1510,59 <Интегр-Навиг> 62,6721 0,131479 -0,603818 -2,69689 1,65142 0 55,76382029377 37,72254642414 169,45274353027 -0,0243776 9,23259 1,26811
-568,35400390625 31364 -1,62378 <_____> 1511,4 <Интегр-Навиг> 62,5893 0,1677 -0,500741 -2,72982 1,67971 0 55,76381698322 37,72255004159 169,20814514160 -0,292848 9,98884 -0,323796
-568,80505371094 31833 -1,624 <_____> 1512,81 <Интегр-Навиг> 62,5099 0,198808 -0,390236 -2,92568 1,78478 0 55,76381305992 37,72255255142 169,21376037598 0,937936 10,0991 1,10606
-569,25616455078 32290 -1,62378 <_____> 1513,22 <Интегр-Навиг> 62,4874 0,201698 -0,278481 -2,94722 1,78746 0 55,76380969751 37,72255617965 169,21893310547 0,392134 9,77593 1,3687
-569,70721435547 32748 -1,624 <_____> 1513,22 <Интегр-Навиг> 62,4899 0,235802 -0,193161 -2,93198 1,77235 0 55,76380581490 37,72255839451 168,95541381836 -0,61381 9,21148 1,07688
-570,15832519531 33207 -1,62378 <_____> 1512,81 <Интегр-Навиг> 62,473 0,201964 -0,134267 -2,89364 1,76997 0 55,76380247507 37,72256200655 168,95362854004 -0,38122 9,49615 -0,0787729
-570,60937500000 33663 0 <_____> 1512,21 <Интегр-Навиг> 62,4131 0,164853 -0,101527 -2,9447 1,79771 0 55,76379841350 37,72256574495 168,69966125488 0,807699 10,0168 0,622311
-571,06042480469 34120 -1,62378 <_____> 1512,21 <Интегр-Навиг> 62,3124 0,171306 -0,0834897 -2,93011 1,79034 0 55,76379506049 37,72256938412 168,69189453125 0,767618 10,1541 1,25156
-571,51153564453 34577 -1,62378 <_____> 1511,8 <Интегр-Навиг> 62,2768 0,126156 -0,0859414 -2,89753 1,78577 0 55,76379143526 37,72257081065 168,45182800293 0,11063 9,80851 -0,889135
-571,96258544922 35040 -1,624 <_____> 1511,4 <Интегр-Навиг> 62,2621 0,139478 -0,124316 -2,83298 1,75185 0 55,76378807812 37,72257446303 168,43853759766 -0,141465 10,0044 -0,157231
-572,41369628906 35506 -1,62378 <_____> 1510,59 <Интегр-Навиг> 62,274 0,113559 -0,17505 -2,87644 1,74925 0 55,76378440090 37,72257616935 168,21226501465 -0,936776 9,16456 0,688009
-572,86474609375 35967 -1,624 <_____> 1510,59 <Интегр-Навиг> 62,2849 0,0571191 -0,233405 -2,93433 1,77893 0 55,76378102658 37,72257982712 168,19378662109 -0,403055 9,21893 1,03973
-573,31579589844 36420 -1,62378 <_____> 1510,59 <Интегр-Навиг> 62,269 0,0890722 -0,284777 -2,95582 1,80436 0 55,76377700962 37,72258324777 167,99241638184 -0,44219 9,49518 -1,05479
-573,76690673828 36873 0 Piket 1510,59 <Интегр-Навиг> 62,242 0,0482578 -0,32878 -2,90908 1,78225 0 55,76377367448 37,72258685401 167,97039794922 0,191003 10,0894 -1,45982
-574,21795654297 37331 -1,624 <_____> 1510,79 <Интегр-Навиг> 62,1865 0,134035 -0,371512 -2,93177 1,7861 0 55,76377037758 37,72259042789 167,94818115234 -1,1206 9,17103 1,28592
-574,66906738281 37786 -1,62378 <_____> 1512,21 <Интегр-Навиг> 62,154 0,098527 -0,423634 -2,89429 1,77617 0 55,76376647007 37,72259404738 167,76843261719 0,104346 10,1218 -1,60922
-575,12011718750 38245 -1,624 <_____> 1512,21 <Интегр-Навиг> 62,1584 0,107063 -0,453359 -2,91821 1,78123 0 55,76376314010 37,72259765925 167,74235534668 0,831353 10,1804 0,53745
-575,57116699219 38704 -1,62378 <_____> 1510,79 <Интегр-Навиг> 62,1505 0,169117 -0,472394 -2,92727 1,77888 0 55,76375898126 37,72260131474 167,62956237793 -0,438878 9,3618 1,00623
-576,02227783203 39159 -1,62378 <_____> 1510,59 <Интегр-Навиг> 62,1708 0,178478 -0,489579 -2,93694 1,79263 0 55,76375565706 37,72260490675 167,60197448730 -0,132733 9,7656 -1,15304
-576,47332763672 39605 -1,624 <_____> 1510,59 <Интегр-Навиг> 62,1582 0,256613 -0,485649 -3,06434 1,85763 0 55,76375174426 37,72260797487 167,54710388184 0,597632 10,6334 -0,0159005
-576,92443847656 40044 0 <_____> 1510,59 <Интегр-Навиг> 62,1145 0,16401 -0,491492 -2,96821 1,76953 0 55,76374840963 37,72261157155 167,52020263672 -0,052114 8,88676 0,684003
-577,37548828125 40505 -1,624 <_____> 1510,59 <Интегр-Навиг> 62,0399 -0,109056 -0,502131 -2,83693 1,73023 0 55,76374455069 37,72261423516 167,50593566895 -0,348996 9,70206 0,14699
-577,82653808594 40979 -1,62378 <_____> 1509,98 <Интегр-Навиг> 61,936 -0,245117 -0,445163 -2,75177 1,6964 0 55,76374125859 37,72261782585 167,47850036621 0,581727 10,2455 0,0375886
-578,27764892578 41488 -1,62378 <_____> 1508,57 <Интегр-Навиг> 61,8634 -0,0863221 -0,436337 -2,55755 1,59362 0 55,76373756380 37,72262120370 167,49668884277 0,462433 10,1656 -0,328716
-578,72869873047 41997 -1,624 <_____> 1508,77 <Интегр-Навиг> 61,8773 -0,053012 -0,350306 -2,64764 1,64383 0 55,76373428127 37,72262482973 167,47018432617 -0,861151 9,12996 1,07768
-579,17980957031 42499 0 <_____> 1509,78 <Интегр-Навиг> 61,8952 -0,0184783 -0,264374 -2,60633 1,6204 0 55,76373028983 37,72262834767 167,48519897461 0,493667 10,5046 -1,92433
-579,63085937500 43004 -1,624 <_____> 1510,39 <Интегр-Навиг> 61,8956 0,0371972 -0,170976 -2,67944 1,6515 0 55,76372698181 37,72263198867 167,46003723145 0,121085 9,31644 1,37708
-580,08190917969 43500 -1,62378 <_____> 1510,59 <Интегр-Навиг> 61,9405 -0,0252954 -0,0884761 -2,66057 1,63147 0 55,76372272543 37,72263599243 167,47680664063 -0,0935218 9,20986 1,42456
-580,53302001953 44009 -1,62378 <_____> 1510,59 <Интегр-Навиг> 61,9623 0,0636484 -0,0169609 -2,58072 1,61043 0 55,76371943577 37,72263961100 167,45259094238 0,0905166 9,95625 -0,0871501
-580,98406982422 44514 0 <_____> 1510,59 <Интегр-Навиг> 61,986 0,0551242 0,0162333 -2,60442 1,61315 0 55,76371549540 37,72264100377 167,48135375977 0,466163 10,7119 -2,03484
-581,43518066406 45021 -1,62378 <_____> 1510,59 <Интегр-Навиг> 62,0142 0,0647049 0,0340637 -2,61687 1,61607 0 55,76371220086 37,72264460916 167,45803833008 -0,273301 9,60026 0,346858
-581,88623046875 45522 -1,624 <_____> 1510,79 <Интегр-Навиг> 62,0151 0,0390779 0,0232377 -2,69549 1,64826 0 55,76370837980 37,72264735817 167,51113891602 -0,966333 9,24967 0,870446
-582,33728027344 46016 -1,62378 <_____> 1510,59 <Интегр-Навиг> 61,9835 0,0659924 -0,0146622 -2,64415 1,63715 0 55,76370508858 37,72265095200 167,49005126953 0,729432 10,572 -1,58092
-582,78839111328 46516 0 <_____> 1510,59 <Интегр-Навиг> 61,961 0,109152 -0,0816907 -2,72521 1,66204 0 55,76370080315 37,72265142601 167,58825683594 0,774335 9,48242 1,34204
-583,23944091797 47003 -1,624 <_____> 1510,59 <Интегр-Навиг> 61,9453 0,0604423 -0,162729 -2,73025 1,6661 0 55,76369749376 37,72265501151 167,57031250000 -0,999324 9,32747 0,925449
-583,69055175781 47488 -1,62378 <_____> 1510,59 <Интегр-Навиг> 61,9343 0,0958017 -0,261109 -2,74669 1,68175 0 55,76369368686 37,72265740921 167,67086791992 0,0682732 10,3868 -1,22689
-584,14160156250 47965 -1,624 Piket 1510,39 <Интегр-Навиг> 61,9323 0,105018 -0,350146 -2,82884 1,71003 0 55,76369038742 37,72266097041 167,65660095215 -0,228168 9,08906 1,03134
-584,59265136719 48438 0 <_____> 1510,19 <Интегр-Навиг> 61,9293 0,112706 -0,436736 -2,80491 1,69222 0 55,76368672550 37,72266387115 167,78388977051 -1,16492 9,08981 0,682998
-585,04376220703 48915 -1,62378 <_____> 1509,78 <Интегр-Навиг> 61,9328 0,0442032 -0,514956 -2,77994 1,69462 0 55,76368338310 37,72266747495 167,77343750000 -0,681768 9,59237 -0,00141538
-585,49481201172 49392 -1,624 <_____> 1509,78 <Интегр-Навиг> 61,9044 0,0470231 -0,564794 -2,7669 1,68603 0 55,76367995109 37,72267117572 167,92852783203 0,509488 9,74262 0,737842
-585,94592285156 49872 -1,62378 <_____> 1509,58 <Интегр-Навиг> 61,8691 0,0760013 -0,614445 -2,78977 1,693 0 55,76367664236 37,72267475545 167,92311096191 -1,08355 9,24352 0,585267
-586,39697265625 50340 -1,624 <_____> 1509,58 <Интегр-Навиг> 61,8389 0,050139 -0,65083 -2,87439 1,73828 0 55,76367328182 37,72267837479 168,09225463867 -0,914393 8,96412 0,982231
-586,84808349609 50803 -1,62378 <_____> 1509,58 <Интегр-Навиг> 61,8383 0,0453389 -0,678926 -2,8436 1,7321 0 55,76366977215 37,72268194347 168,09170532227 0,90673 10,3779 -0,599016
-587,29913330078 51277 0 <_____> 1509,98 <Интегр-Навиг> 61,8499 0,0804551 -0,702277 -2,84989 1,72298 0 55,76366644791 37,72268553361 168,09097290039 -0,221278 9,35437 1,68227
-587,75018310547 51742 -1,62378 <_____> 1509,98 <Интегр-Навиг> 61,8614 0,0624341 -0,709445 -2,84658 1,71796 0 55,76366220472 37,72268748586 168,26359558105 -0,860273 9,33636 0,136718
-588,20129394531 52214 -1,62378 <_____> 1510,39 <Интегр-Навиг> 61,8796 0,0852197 -0,713144 -2,80821 1,69569 0 55,76365886396 37,72269106959 168,26747131348 -0,443028 9,80985 -0,776021
-588,65234375000 52684 -1,624 <_____> 1511,4 <Интегр-Навиг> 61,9008 0,0924392 -0,704605 -2,8497 1,71462 0 55,76365501845 37,72269413380 168,43508911133 0,398755 9,25635 1,6756
-589,10345458984 53159 -1,62378 <_____> 1512,41 <Интегр-Навиг> 61,8848 0,138211 -0,672938 -2,76163 1,67423 0 55,76365170860 37,72269768580 168,44319152832 -1,2052 9,1871 0,212429
-589,55450439453 53640 0 <_____> 1513,01 <Интегр-Навиг> 61,864 0,140822 -0,659072 -2,77951 1,67109 0 55,76364790133 37,72270097851 168,57373046875 -1,13247 8,91761 1,11199
-590,00555419922 54115 -1,62378 <_____> 1513,22 <Интегр-Навиг> 61,854 0,0994954 -0,653499 -2,80049 1,70775 0 55,76364460022 37,72270451944 168,58483886719 0,602189 10,4389 -1,1487
-590,45666503906 54587 -1,62378 <_____> 1513,01 <Интегр-Навиг> 61,8854 0,103189 -0,628143 -2,85028 1,71519 0 55,76364074758 37,72270850505 168,67453002930 0,0268223 9,4026 1,55281
-590,90771484375 55058 -1,624 <_____> 1512,21 <Интегр-Навиг> 61,8616 0,121935 -0,630515 -2,8235 1,72193 0 55,76363745165 37,72271204575 168,68762207031 0,240705 10,2033 -1,61128
-591,35882568359 55526 -1,62378 <_____> 1511,2 <Интегр-Навиг> 61,8703 0,157139 -0,639426 -2,86181 1,71461 0 55,76363327487 37,72271493005 168,71818542480 0,168117 9,68678 1,62739
-591,80987548828 55998 -1,624 <_____> 1510,59 <Интегр-Навиг> 61,8571 0,12082 -0,612933 -2,81716 1,69211 0 55,76362993150 37,72271850890 168,73184204102 -0,764207 8,93064 1,49891
-592,26092529297 56469 0 <_____> 1510,39 <Интегр-Навиг> 61,8641 0,115119 -0,613147 -2,83469 1,69761 0 55,76362664189 37,72271981132 168,73797607422 -1,20127 9,10504 0,524588
-592,71203613281 56936 -1,62378 <_____> 1510,19 <Интегр-Навиг> 61,8679 0,120952 -0,598583 -2,87214 1,72108 0 55,76362332349 37,72272334980 168,75163269043 -0,0130665 10,5491 -1,78543
-593,16308593750 57399 -1,624 <_____> 1509,98 <Интегр-Навиг> 61,8815 0,109628 -0,594593 -2,87866 1,72018 0 55,76361960016 37,72272684467 168,72991943359 -1,0732 8,96945 1,52959
-593,61419677734 57869 -1,62378 <_____> 1509,38 <Интегр-Навиг> 61,9201 0,0695753 -0,597753 -2,82328 1,68119 0 55,76361625555 37,72273040764 168,74319458008 -1,24147 8,69735 1,33818
-594,06524658203 58343 -1,624 Piket 1509,38 <Интегр-Навиг> 61,9574 0,049566 -0,6242 -2,78152 1,69621 0 55,76361293781 37,72273394862 168,67463684082 0,0536514 10,0755 -1,33316
-594,51629638672 58819 -1,62378 <_____> 1509,38 <Интегр-Навиг> 61,9661 0,03128 -0,664054 -2,80412 1,67985 0 55,76360916025 37,72273702911 168,68621826172 0,222449 9,82071 1,18747
-594,96740722656 59287 0 <_____> 1509,38 <Интегр-Навиг> 61,9395 0,050594 -0,692692 -2,89979 1,7251 0 55,76360581708 37,72274058976 168,69754028320 -0,571112 9,40939 1,42272
-595,41845703125 59743 -1,624 <_____> 1509,58 <Интегр-Навиг> 61,9379 0,0263468 -0,732929 -2,92472 1,75852 0 55,76360214632 37,72274356314 168,60223388672 -0,041706 9,70436 -1,49017
-595,86956787109 60202 -1,62378 <_____> 1509,58 <Интегр-Навиг> 61,9412 0,0562429 -0,782425 -2,87032 1,72652 0 55,76359881651 37,72274709823 168,61074829102 0,463606 10,3866 -0,901291
-596,32061767578 60673 -1,624 <_____> 1509,98 <Интегр-Навиг> 61,9238 0,119759 -0,825089 -2,79464 1,69125 0 55,76359506585 37,72274963247 168,49658203125 -0,917408 9,02277 1,2755
-596,77166748047 61153 -1,62378 <_____> 1510,39 <Интегр-Навиг> 61,9238 0,195201 -0,872971 -2,76819 1,66122 0 55,76359174844 37,72275316741 168,50184631348 0,40028 9,65971 1,07536
-597,22277832031 61635 0 <_____> 1510,39 <Интегр-Навиг> 61,9165 0,248264 -0,916631 -2,77307 1,66159 0 55,76358763611 37,72275609702 168,35977172852 -0,54947 9,90993 -0,29467
-597,67382812500 62110 -1,624 <_____> 1510,39 <Интегр-Навиг> 61,9043 0,4074 -0,956752 -2,84542 1,70309 0 55,76358433009 37,72275961444 168,36012268066 0,378577 9,85101 0,623316
-598,12493896484 62577 -1,62378 <_____> 1510,39 <Интегр-Навиг> 61,9004 0,555594 -0,987321 -2,90419 1,72063 0 55,76358027582 37,72276399507 168,20283508301 -1,14891 9,12353 0,594424
-598,57598876953 63029 -1,624 <_____> 1510,39 <Интегр-Навиг> 61,9119 0,626981 -0,988017 -2,98703 1,79058 0 55,76357692480 37,72276753559 168,19784545898 -0,396035 9,6555 -1,43311
-599,02709960938 63472 -1,62378 <_____> 1510,39 <Интегр-Навиг> 61,9145 0,758168 -0,99159 -3,04564 1,79626 0 55,76357275565 37,72277072841 168,05075073242 0,0742564 9,72726 1,73947
-599,47814941406 63908 -1,624 <_____> 1510,39 <Интегр-Навиг> 61,8853 0,78722 -0,981693 -3,09232 1,82686 0 55,76356939684 37,72277426125 168,04138183594 -1,13244 8,3686 0,262403
-599,92919921875 64338 -1,62378 <_____> 1510,19 <Интегр-Навиг> 61,8865 0,791155 -0,953841 -3,12552 1,85688 0 55,76356607211 37,72277774767 168,03181457520 0,581417 10,8157 -1,1371
-600,38031005859 64767 -1,62378 <_____> 1510,19 <Интегр-Навиг> 61,8849 0,833518 -0,935117 -3,12264 1,85496 0 55,76356234703 37,72278102588 167,88667297363 0,553519 11,4379 -0,50603
-600,83135986328 65197 -1,624 <_____> 1510,19 <Интегр-Навиг> 61,8845 0,770601 -0,881386 -3,10984 1,83754 0 55,76355902057 37,72278451752 167,87428283691 -0,936305 8,06648 0,915217
-601,28247070313 65632 0 <_____> 1509,98 <Интегр-Навиг> 61,8506 0,799616 -0,836355 -3,02725 1,79414 0 55,76355518459 37,72278773818 167,71241760254 -0,104672 10,8505 -1,89012
-601,73352050781 66066 -1,624 <_____> 1509,58 <Интегр-Навиг> 61,813 0,849664 -0,76495 -3,1385 1,8511 0 55,76355185502 37,72279123098 167,69711303711 0,527151 10,425 1,5653
-602,18457031250 66493 -1,62378 <_____> 1509,38 <Интегр-Навиг> 61,8062 0,410201 -0,71999 -3,08866 1,82647 0 55,76354756233 37,72279492851 167,50981140137 0,889161 10,4382 0,880138
-602,63568115234 66934 -1,62378 <_____> 1509,58 <Интегр-Навиг> 61,8192 -0,225206 -0,709389 -2,98527 1,75546 0 55,76354425079 37,72279842158 167,49505615234 -1,55245 8,18413 0,68563
-603,08673095703 67382 -1,624 <_____> 1509,78 <Интегр-Навиг> 61,825 -0,48637 -0,729617 -2,97399 1,76753 0 55,76354094551 37,72280192037 167,32670593262 -1,07968 8,42179 -0,336052
-603,53784179688 67829 -1,62378 <_____> 1509,78 <Интегр-Навиг> 61,8672 -0,599297 -0,75161 -2,92008 1,7452 0 55,76353728671 37,72280512651 167,31372070313 -0,162339 9,76829 -1,65151
-603,98889160156 68288 -1,624 Piket 1509,98 <Интегр-Навиг> 61,8687 -0,591917 -0,771083 -2,91661 1,73667 0 55,76353396161 37,72280865094 167,30012512207 0,918539 10,3507 0,984413
-604,43994140625 68752 -1,62378 <_____> 1510,19 <Интегр-Навиг> 61,8687 -0,656926 -0,785652 -2,80981 1,70008 0 55,76352952971 37,72281349542 167,13031005859 -0,393903 9,60173 -0,868749
-604,89105224609 69239 0 <_____> 1510,19 <Интегр-Навиг> 61,8778 -0,654753 -0,79794 -2,64038 1,60599 0 55,76352621014 37,72281703635 167,11256408691 0,371435 10,6122 -1,57755
-605,34210205078 69746 -1,624 <_____> 1509,98 <Интегр-Навиг> 61,8924 -0,665885 -0,815365 -2,58437 1,56792 0 55,76352211498 37,72282029217 166,95735168457 -0,174538 10,1878 -0,836984
-605,79321289063 70264 -1,62378 <_____> 1509,78 <Интегр-Навиг> 61,9142 -0,682185 -0,837843 -2,52378 1,52739 0 55,76351884273 37,72282381055 166,93508911133 -0,187953 9,00032 0,944611
-606,24426269531 70799 -1,624 <_____> 1509,78 <Интегр-Навиг> 61,8932 -0,648118 -0,858733 -2,45885 1,48605 0 55,76351473484 37,72282718874 166,78572082520 -1,38201 9,59045 0,600291
-606,69531250000 71332 0 <_____> 1509,78 <Интегр-Навиг> 61,8788 -0,566824 -0,85177 -2,479 1,50851 0 55,76351143713 37,72283074301 166,75852966309 -0,297724 10,3869 -0,85802
-607,14642333984 71869 -1,62378 <_____> 1509,78 <Интегр-Навиг> 61,8511 -0,433181 -0,85141 -2,45083 1,49969 0 55,76350765369 37,72283396620 166,63552856445 0,25869 10,4421 -0,878884
-607,59747314453 72392 -1,624 <_____> 1509,98 <Интегр-Навиг> 61,8709 -0,287071 -0,834269 -2,61857 1,56444 0 55,76350437005 37,72283749179 166,50003051758 -0,967018 9,26775 0,862896
-608,04858398438 72896 0 <_____> 1509,78 <Интегр-Навиг> 61,942 -0,0965256 -0,804228 -2,62806 1,58422 0 55,76350042703 37,72284136420 166,46678161621 -0,608525 9,98496 -0,14551
-608,49963378906 73401 -1,624 <_____> 1509,98 <Интегр-Навиг> 61,9457 -0,000412222 -0,769598 -2,63731 1,60564 0 55,76349626925 37,72284364745 166,34286499023 0,237878 10,8355 -1,10185
-608,95068359375 73894 -1,62378 <_____> 1509,98 <Интегр-Навиг> 61,9077 0,0632342 -0,755189 -2,76754 1,62756 0 55,76349295290 37,72284717089 166,30682373047 -0,288898 9,17228 1,37972
-609,40179443359 74376 -1,62378 <_____> 1510,39 <Интегр-Навиг> 61,8729 0,0759514 -0,712998 -2,74839 1,64806 0 55,76348902223 37,72285151062 166,18922424316 -0,369056 10,4006 -1,36958
-609,85284423828 74859 0 <_____> 1510,39 <Интегр-Навиг> 61,8885 0,17067 -0,678123 -2,80763 1,68147 0 55,76348570793 37,72285503526 166,15153503418 0,491207 9,50098 1,68381
-610,30395507813 75333 -1,62378 <_____> 1510,59 <Интегр-Навиг> 61,893 0,119203 -0,643991 -2,83235 1,70176 0 55,76348238452 37,72285856171 166,02891540527 -0,667883 9,25144 0,33114
-610,75500488281 75802 -1,624 <_____> 1510,59 <Интегр-Навиг> 61,896 0,0697322 -0,618722 -2,83862 1,69158 0 55,76347828924 37,72286210978 165,98960876465 -0,773498 9,63498 0,296093
-611,20605468750 76254 -1,62378 <_____> 1510,59 <Интегр-Навиг> 61,8822 0,0200704 -0,598706 -3,01928 1,79558 0 55,76347495110 37,72286563783 165,95204162598 0,461196 10,3388 -1,03959
-611,65716552734 76705 -1,62378 <_____> 1510,59 <Интегр-Навиг> 61,8812 -0,0184027 -0,598883 -2,9253 1,73961 0 55,76347088375 37,72286833651 165,82421875000 -1,35875 9,1777 0,855955
-612,10821533203 77165 -1,624 <_____> 1510,59 <Интегр-Навиг> 61,8503 -0,0745561 -0,619354 -2,93173 1,75982 0 55,76346754980 37,72287187852 165,78450012207 0,077955 9,69938 -1,12717
-612,55932617188 77608 -1,62378 <_____> 1510,39 <Интегр-Навиг> 61,8403 -0,0875082 -0,647854 -3,05006 1,8215 0 55,76346365460 37,72287494697 165,67358398438 0,424242 10,7922 -1,59656
-613,01037597656 78045 0 <_____> 1510,39 <Интегр-Навиг> 61,8354 -0,111535 -0,697298 -3,05163 1,80648 0 55,76346034885 37,72287843836 165,63490295410 -1,01288 8,36764 0,802895
-613,46142578125 78479 -1,62378 <_____> 1510,59 <Интегр-Навиг> 61,8253 -0,0925158 -0,748557 -3,15798 1,88026 0 55,76345653238 37,72288146427 165,54393005371 0,248584 11,1092 -1,31534
-613,91253662109 78903 -1,62378 <_____> 1510,59 <Интегр-Навиг> 61,8439 -0,14306 -0,793537 -3,12302 1,8696 0 55,76345316078 37,72288500931 165,50515747070 0,707538 10,8202 -0,395422
-614,36358642578 79347 -1,624 Piket 1510,59 <Интегр-Навиг> 61,8599 -0,179736 -0,851359 -2,96232 1,78932 0 55,76344978930 37,72288857980 165,45207214355 0,842396 11,0878 -0,646134
-614,81469726563 79803 -1,62378 <_____> 1510,39 <Интегр-Навиг> 61,8553 -0,261931 -0,924814 -2,91903 1,73432 0 55,76344599160 37,72289199082 165,41131591797 -1,01866 9,01786 1,44382
-615,26574707031 80267 -1,624 <_____> 1509,78 <Интегр-Навиг> 61,8484 -0,34344 -1,01972 -2,80918 1,69312 0 55,76344265217 37,72289555180 165,36944580078 -0,9635 9,51174 0,395822
-615,71685791016 80740 -1,62378 <_____> 1509,78 <Интегр-Навиг> 61,8633 -0,402419 -1,11919 -2,84162 1,70707 0 55,76343858820 37,72289762409 165,37654113770 0,202493 9,91579 -1,7553
-616,16790771484 81203 -1,624 <_____> 1509,98 <Интегр-Навиг> 61,8551 -0,370228 -1,22275 -2,90442 1,74035 0 55,76343529077 37,72290113451 165,33741760254 -0,764332 8,78196 1,78091
-616,61895751953 81652 0 <_____> 1510,39 <Интегр-Навиг> 61,8253 -0,392138 -1,33088 -3,07827 1,83604 0 55,76343137050 37,72290362684 165,41650390625 0,955135 10,4987 -1,12275
-617,07006835938 82072 -1,62378 <_____> 1510,59 <Интегр-Навиг> 61,7948 -0,458619 -1,4505 -3,29661 1,94496 0 55,76342808003 37,72290709188 165,38484191895 -0,265835 8,70465 1,6103
-617,52111816406 82477 -1,624 <_____> 1510,59 <Интегр-Навиг> 61,8142 -0,471542 -1,57125 -3,32557 1,96987 0 55,76342450265 37,72291076920 165,56297302246 -0,995301 9,33328 -0,309648
-617,97222900391 82884 -1,62378 <_____> 1510,59 <Интегр-Навиг> 61,8303 -0,523088 -1,68367 -3,2264 1,92672 0 55,76342114946 37,72291429560 165,53698730469 -0,116762 10,6796 -0,7757
-618,42327880859 83305 -1,624 <_____> 1510,59 <Интегр-Навиг> 61,8407 -0,479994 -1,78764 -3,18816 1,89173 0 55,76341780708 37,72291782079 165,50971984863 0,328945 9,77736 1,74845
-618,87432861328 83733 -1,62378 <_____> 1510,59 <Интегр-Навиг> 61,8435 -0,411924 -1,87769 -3,10943 1,85131 0 55,76341378392 37,72292195026 165,72874450684 0,564002 11,3176 -0,348672
-619,32543945313 84173 -1,62378 <_____> 1510,59 <Интегр-Навиг> 61,8855 -0,339593 -1,9317 -3,0129 1,79307 0 55,76341044008 37,72292548669 165,70556640625 -0,487913 9,69917 1,76552
-619,77648925781 84625 -1,624 <_____> 1510,59 <Интегр-Навиг> 61,926 -0,281115 -1,95436 -2,91505 1,74281 0 55,76340704914 37,72292887890 165,92330932617 -0,202517 9,92749 -1,85899
-620,22760009766 85088 -1,62378 <_____> 1510,79 <Интегр-Навиг> 61,967 -0,184869 -1,95744 -2,84603 1,70002 0 55,76340367506 37,72293245188 165,90428161621 -0,491111 9,53806 1,0986
-620,67864990234 85554 -1,624 <_____> 1512,21 <Интегр-Навиг> 62,0154 -0,149406 -1,91654 -2,88316 1,72615 0 55,76339994243 37,72293622303 166,10397338867 0,230111 10,0398 0,423564
-621,12969970703 86020 -1,62378 <_____> 1512,61 <Интегр-Навиг> 61,9987 -0,0816783 -1,8797 -2,86562 1,70304 0 55,76339660731 37,72293975970 166,08990478516 -0,921644 9,07312 0,716333
-621,58081054688 86486 0 <_____> 1513,42 <Интегр-Навиг> 61,9538 -0,0450519 -1,85427 -2,92962 1,75503 0 55,76339275565 37,72294410531 166,26148986816 0,65807 10,4021 0,45285
-622,03186035156 86925 -1,624 <_____> 1513,62 <Интегр-Навиг> 61,8723 -0,0343662 -1,82302 -3,14125 1,85712 0 55,76338942578 37,72294762940 166,25231933594 -0,778642 7,74254 0,536189
-622,48297119141 87350 -1,62378 <_____> 1513,42 <Интегр-Навиг> 61,8448 -0,00025196 -1,80734 -3,14215 1,87529 0 55,76338606407 37,72295118226 166,24307250977 -1,74399 9,51578 -0,797453
-622,93402099609 87776 -1,624 <_____> 1513,22 <Интегр-Навиг> 61,8513 -0,0145132 -1,75517 -3,12003 1,87131 0 55,76338197201 37,72295470123 166,41151428223 0,0713433 10,8401 -1,12549
-623,38507080078 88221 -1,62378 <_____> 1512 <Интегр-Навиг> 61,8526 0,114553 -1,71467 -2,90104 1,75886 0 55,76337861003 37,72295827974 166,40591430664 0,267884 10,4763 -1,619
