Путь Время,mc Скорость Отметка Шаблон Статус Курс Крен Тангаж Vn Ve Vh Широта Долгота Высота Ax Ay Az 
-0,90214920044 2165 0 Strelka 1513,82 <Интегр-Навиг> 45,81 -0,682271 -0,359416 0,155878 -0,128967 0 55,75860173894 37,72839401097 172,03855895996 -0,0285772 9,86595 -0,0407451
12,63008880615 29810 1,62387 <_____> 1484,73 <Интегр-Навиг> 45,9023 -0,229277 -0,0982455 3,32164 -3,13967 0 55,75868803303 37,72824630574 169,34407043457 -1,02576 10,4344 -0,690683
13,08116340637 30172 1,62387 <_____> 1484,53 <Интегр-Навиг> 45,9149 -0,111241 -0,0582306 3,34107 -3,1658 0 55,75869102820 37,72824127628 169,31713867188 0,642354 9,78107 -0,265458
13,53223800659 30536 1,62387 <_____> 1484,53 <Интегр-Навиг> 45,9118 -0,160897 -0,0454644 3,30295 -3,1357 0 55,75869418275 37,72823630437 169,24136352539 0,356586 10,2321 0,371215
13,98331260681 30898 1,62387 <_____> 1484,32 <Интегр-Навиг> 45,967 -0,216665 -0,0327962 3,38454 -3,20639 0 55,75869717649 37,72823129041 169,21328735352 0,168159 10,0803 -0,321937
14,43438720703 31253 1,62387 <_____> 1484,32 <Интегр-Навиг> 45,8762 -0,231061 -0,0232066 3,37493 -3,22146 0 55,75870017820 37,72822623553 169,18548583984 0,462158 9,84414 0,768505
14,88546180725 31610 1,62387 <_____> 1484,32 <Интегр-Навиг> 45,8741 -0,260607 -0,0290068 3,37518 -3,1926 0 55,75870291273 37,72822108491 169,10148620605 -0,15258 9,88187 0,206032
15,33653640747 31966 3,24774 <_____> 1484,53 <Интегр-Навиг> 45,8842 -0,231945 -0,0109348 3,40368 -3,22336 0 55,75870590667 37,72821605452 169,07261657715 -0,137756 9,78372 -0,424421
15,78761100769 32318 1,62387 <_____> 1484,53 <Интегр-Навиг> 45,8749 -0,186023 -0,0260137 3,41694 -3,22822 0 55,75870891719 37,72821099928 169,04357910156 0,896123 10,9953 -1,31827
16,23868560791 32670 1,62387 <_____> 1484,53 <Интегр-Навиг> 45,8722 -0,206961 -0,0351567 3,48039 -3,30126 0 55,75871145893 37,72820638313 168,97230529785 0,640847 10,1034 0,477932
16,68976020813 33014 1,62387 <_____> 1484,53 <Интегр-Навиг> 45,8034 -0,214179 -0,0554935 3,49019 -3,32301 0 55,75871448162 37,72820128767 168,94299316406 0,130518 9,63157 0,819257
17,14083480835 33360 1,62387 <_____> 1484,53 <Интегр-Навиг> 45,7691 -0,295574 -0,0646751 3,53606 -3,34749 0 55,75871743840 37,72819629921 168,91404724121 0,555038 9,84714 -0,13386
17,59190940857 33696 1,62387 <_____> 1484,53 <Интегр-Навиг> 45,6969 -0,296049 -0,0726484 3,58556 -3,42275 0 55,75872013907 37,72819169309 168,84729003906 0,328259 10,0134 -0,0210258
18,04298400879 34031 1,62387 <_____> 1484,53 <Интегр-Навиг> 45,6491 -0,279245 -0,0630455 3,57833 -3,42075 0 55,75872311522 37,72818665068 168,81814575195 -0,58783 9,94181 -0,103515
18,49405860901 34361 3,24774 <_____> 1484,53 <Интегр-Навиг> 45,7077 -0,26977 -0,0577428 3,68491 -3,51274 0 55,75872612606 37,72818156591 168,78897094727 -0,354019 9,81221 -0,444907
18,94513320923 34686 1,62387 <_____> 1484,32 <Интегр-Навиг> 45,7089 -0,2801 -0,0235571 3,66873 -3,50292 0 55,75872853945 37,72817787785 168,72637939453 -0,0861748 9,5047 0,323413
19,39620780945 35013 1,62387 <_____> 1484,32 <Интегр-Навиг> 45,7195 -0,23614 -0,00994236 3,59964 -3,42988 0 55,75873152217 37,72817284808 168,69715881348 -0,277436 10,034 -0,255117
