Путь Время,mc Скорость Отметка Шаблон Статус Курс Крен Тангаж Vn Ve Vh Широта Долгота Высота Ax Ay Az 
-692,80047607422 81654 1,624 <_____> 1518,47 <Интегр-Навиг> 46,3928 -0,00376632 0,0341923 2,9331 -3,39479 0 55,75862354891 37,72828811293 162,60424804688 1,19494 9,74708 0,861256
-692,34936523438 82023 1,624 <_____> 1517,05 <Интегр-Навиг> 46,3746 0,0629558 0,0374053 2,94152 -3,44484 0 55,75862681697 37,72828424557 162,56254577637 -0,818499 9,38729 -0,939979
-691,89831542969 82385 3,24778 <_____> 1516,65 <Интегр-Навиг> 46,4428 0,0340313 0,0586685 3,03133 -3,5445 0 55,75862949964 37,72827871173 162,52131652832 0,440819 9,78355 0,406024
-691,44726562500 82739 1,62378 <_____> 1516,25 <Интегр-Навиг> 46,4814 -0,043987 0,053289 3,12014 -3,59437 0 55,75863272768 37,72827480914 162,58352661133 0,468428 9,64539 -0,41361
-690,99615478516 83089 1,62378 <_____> 1515,44 <Интегр-Навиг> 46,4087 0,0370148 0,0605138 3,10944 -3,5724 0 55,75863541201 37,72826929590 162,54568481445 -0,760758 9,612 -1,20668
-690,54510498047 83449 1,624 <_____> 1515,24 <Интегр-Навиг> 46,4415 -0,00108386 0,0552783 3,05707 -3,51129 0 55,75863815174 37,72826371115 162,50614929199 -0,934834 9,66409 -0,55951
-690,09399414063 83817 1,62378 <_____> 1515,03 <Интегр-Навиг> 46,2488 0,0485716 0,0420291 2,89678 -3,37972 0 55,75864103671 37,72826000565 162,57147216797 1,28603 9,1215 1,01623
-689,64294433594 84189 1,624 <_____> 1514,23 <Интегр-Навиг> 46,1582 0,0129561 0,0340043 3,00789 -3,47349 0 55,75864375912 37,72825437221 162,53283691406 0,392283 10,027 0,420887
-689,19189453125 84551 1,62378 <_____> 1513,82 <Интегр-Навиг> 46,1055 0,00908531 0,00426061 2,98486 -3,4765 0 55,75864646105 37,72824880394 162,49519348145 0,0150397 10,1889 -0,373201
-688,74078369141 84913 1,62378 <_____> 1513,82 <Интегр-Навиг> 46,086 -0,108327 0,00785409 3,03988 -3,51806 0 55,75864954414 37,72824468694 162,55270385742 0,0973612 9,58056 0,161565
-688,28973388672 85262 1,624 <_____> 1513,82 <Интегр-Навиг> 46,1679 -0,112089 0,014733 3,14374 -3,65837 0 55,75865223588 37,72823917597 162,51821899414 0,890372 10,3919 0,734421
-687,83862304688 85612 1,624 <_____> 1513,62 <Интегр-Навиг> 46,1146 -0,00460569 0,00478439 3,0675 -3,53319 0 55,75865493053 37,72823364083 162,58905029297 0,715226 10,5645 0,011581
-687,38757324219 85970 3,24778 <_____> 1513,22 <Интегр-Навиг> 46,1511 -0,0503648 0,0199386 3,01476 -3,47182 0 55,75865841775 37,72822945783 162,55546569824 1,26038 10,228 0,251986
-686,93652343750 86345 1,62378 <_____> 1512,81 <Интегр-Навиг> 46,0623 -0,0334884 0,044303 2,84248 -3,34601 0 55,75866113939 37,72822383337 162,52059936523 0,581205 9,41119 0,360682
-686,48541259766 86733 1,62378 <_____> 1512,81 <Интегр-Навиг> 45,9476 -0,116868 0,0796883 2,76058 -3,2621 0 55,75866437240 37,72821968199 162,60101318359 -0,211488 9,05578 0,523097
-686,03436279297 87131 1,624 Piket 1512,81 <Интегр-Навиг> 45,9405 -0,0904505 0,116142 2,6239 -3,15144 0 55,75866704491 37,72821409262 162,56698608398 -0,161742 8,19808 0,846465
-685,58325195313 87546 1,62378 <_____> 1513,42 <Интегр-Навиг> 45,8399 -0,126756 0,143675 2,58517 -3,08236 0 55,75866976269 37,72820830998 162,52999877930 -0,232816 10,8561 -1,01433
-685,13220214844 87956 1,624 <_____> 1514,43 <Интегр-Навиг> 45,8505 -0,186047 0,182285 2,66285 -3,14548 0 55,75867331390 37,72820372034 162,63357543945 -0,769459 9,07801 -0,907857
-684,68115234375 88371 1,62378 <_____> 1516,04 <Интегр-Навиг> 45,837 -0,131563 0,210782 2,59135 -3,06083 0 55,75867599610 37,72819806936 162,60031127930 0,854116 11,0846 -0,999407
-684,23004150391 88782 1,62378 <_____> 1516,65 <Интегр-Навиг> 45,9096 -0,146395 0,253709 2,6596 -3,13721 0 55,75867977271 37,72819329923 162,71511840820 0,614232 10,5358 0,473956
-683,77899169922 89197 1,624 <_____> 1517,05 <Интегр-Навиг> 45,8903 -0,0988919 0,279971 2,55366 -3,06759 0 55,75868245429 37,72818767928 162,68554687500 -1,65842 7,65256 -0,101289
-683,32788085938 89607 1,62378 <_____> 1517,05 <Интегр-Навиг> 45,9604 -0,133227 0,322133 2,78111 -3,25444 0 55,75868517144 37,72818198351 162,80633544922 -1,19863 8,71226 -1,11307
-682,87683105469 89980 1,624 <_____> 1517,05 <Интегр-Навиг> 45,9456 -0,0450344 0,342915 2,9195 -3,38563 0 55,75868871874 37,72817695528 162,78260803223 0,323297 10,0347 0,299749
-682,42578125000 90358 1,62378 <_____> 1518,27 <Интегр-Навиг> 45,9792 -0,0664114 0,385329 2,90837 -3,36228 0 55,75869142215 37,72817140315 162,75880432129 -0,569046 9,53728 -0,794002
-681,97467041016 90729 1,62378 <_____> 1518,67 <Интегр-Навиг> 45,9907 -0,0523059 0,413529 2,97381 -3,39204 0 55,75869514875 37,72816677394 162,90061950684 0,530866 10,4266 -0,654549
-681,52362060547 91111 1,624 <_____> 1518,87 <Интегр-Навиг> 45,9817 0,0257971 0,455888 2,81326 -3,25752 0 55,75869788010 37,72816118263 162,88037109375 0,949359 10,0214 0,803603
-681,07250976563 91490 1,62378 <_____> 1519,08 <Интегр-Навиг> 46,028 0,0286127 0,474088 2,97075 -3,41918 0 55,75870060689 37,72815559548 162,86007690430 -0,299266 8,94243 0,705226
-680,62145996094 91850 1,624 <_____> 1518,87 <Интегр-Навиг> 46,0237 0,19162 0,469969 3,07022 -3,49366 0 55,75870377368 37,72815177601 163,01017761230 0,170643 10,1917 -1,09798
-680,17034912109 92209 1,62378 <_____> 1518,67 <Интегр-Навиг> 46,0681 0,2008 0,479183 3,06848 -3,47614 0 55,75870652649 37,72814622384 162,99505615234 0,901305 9,57261 -0,499769
-679,71929931641 92562 1,624 <_____> 1519,08 <Интегр-Навиг> 46,0852 0,289828 0,444402 3,10904 -3,50967 0 55,75870928473 37,72814068257 162,98037719727 0,409194 9,47095 1,00858
-679,26824951172 92933 1,62378 <_____> 1519,48 <Интегр-Навиг> 46,1102 0,277136 0,393803 2,84402 -3,2719 0 55,75871248251 37,72813627456 163,14454650879 -0,200262 9,359 1,96241
-678,81713867188 93316 1,62378 <_____> 1519,48 <Интегр-Навиг> 46,0954 0,242166 0,350772 2,96482 -3,38197 0 55,75871520230 37,72813073726 163,13279724121 0,964994 10,5957 -1,13481
-678,36608886719 93685 1,624 <_____> 1517,46 <Интегр-Навиг> 46,0833 0,270197 0,296936 2,91023 -3,34821 0 55,75871815642 37,72812711602 163,28555297852 -0,573621 8,50383 0,447435
-677,91497802734 94062 1,62378 <_____> 1517,05 <Интегр-Навиг> 46,0604 0,222042 0,238247 3,02713 -3,43291 0 55,75872093984 37,72812148308 163,27714538574 -0,258872 8,85674 0,735732
-677,46392822266 94411 1,62378 <_____> 1517,05 <Интегр-Навиг> 46,0317 0,262832 0,191009 3,1952 -3,62251 0 55,75872365362 37,72811603775 163,26927185059 -0,296589 8,57642 1,11853
-677,01287841797 94759 3,24778 <_____> 1517,05 <Интегр-Навиг> 45,9674 0,0684936 0,208411 3,20955 -3,6277 0 55,75872710462 37,72811108448 163,40892028809 0,0644301 10,577 -1,46592
-676,56176757813 95105 1,62378 Piket 1517,66 <Интегр-Навиг> 45,9597 -0,00518706 0,18941 3,19583 -3,59849 0 55,75872981947 37,72810567058 163,40336608887 -0,512371 9,97359 -1,04246
-676,11071777344 95466 1,624 <_____> 1519,48 <Интегр-Навиг> 45,9496 0,0298666 0,202137 2,90062 -3,33811 0 55,75873260803 37,72810004780 163,39678955078 -0,299566 9,19916 0,469081
-675,65960693359 95850 1,62378 <_____> 1520,29 <Интегр-Навиг> 46,0323 -0,0404615 0,237177 2,89551 -3,30768 0 55,75873561430 37,72809596624 163,51226806641 0,64089 10,2911 -0,655137
