Путь Курс Крен Тангаж
0.3 152.82015495847662 -0.4459473313475133 -0.29024484562663083
0.5 152.80953928242823 -0.42812542170340145 -0.30673526311151394
0.7 152.78049490350838 -0.40357150690100685 -0.3474686392236157
0.9 152.7363776194959 -0.39179085290058424 -0.3169221917551736
1.1 152.70731189419612 -0.3809857491631018 -0.2757154238390992
1.3 152.67491255192775 -0.3543461829945549 -0.31180691612734346
1.5 152.6759070843379 -0.3442614080172734 -0.2916429636156155
1.7 152.6533447627546 -0.3428211502531841 -0.2684231942971128
1.9 152.63137327842986 -0.31928013900686397 -0.24908719223289097
2.1 152.6228498639053 -0.30878127799305943 -0.2537939234413772
2.3 152.6042616578521 -0.2929567081107653 -0.24177619333765815
2.5 152.5742174788623 -0.2839336604623683 -0.2348237067211894
2.7 152.55538921916178 -0.2632569627839155 -0.22952409665572904
2.9 152.5151056680105 -0.23284411111488756 -0.19331133165058004
3.1 152.4745887828375 -0.2159506609318435 -0.19315004779629497
3.3 152.4522586347329 -0.18742879356841707 -0.1664564775996784
3.5 152.42824912844318 -0.16542421392482276 -0.13183528765838692
3.7 152.38202965127616 -0.12396149315371263 -0.09004076998926466
3.9 152.3727008251213 -0.09976918243772803 -0.08731727560410263
4.1 152.35558959602776 -0.06627458061278835 -0.06633556074125097
4.3 152.33115221364454 -0.024023041998328498 -0.028166028303185597
4.5 152.30095269678506 0.035439820752352746 -0.023254431759574923
4.7 152.30970925464393 0.08158419176928366 -0.023443921976685766
4.9 152.28282929642933 0.10672582163507804 -0.02594002946392686
5.1 152.24908239841818 0.15106269860035215 -0.03381892250411969
5.3 152.2707305047314 0.20678577917067487 -0.03915507235712247
5.5 152.25832105894727 0.24627136250864323 -0.07009915895555374
5.7 152.24989037343244 0.28555126531030317 -0.093017025990633
5.9 152.2648271221318 0.3249577535559609 -0.11571618960688035
6.1 152.24807655686854 0.36104038805393684 -0.16423144151870384
6.3 152.21477478572783 0.3885286505014689 -0.20616894174209466
6.5 152.21637346823445 0.40645506589475633 -0.2555293957632283
6.7 152.1846553558605 0.43901246454254855 -0.29320521056671045
