Путь Курс Крен Тангаж
10.7 152.32641753082655 0.0795367877307882 -0.4922736869695097
10.9 152.17183625950094 0.20968817887521485 -0.5273519308291782
11.1 152.16262862456014 0.1930838250861917 -0.5101537039113089
11.3 152.15413003764283 0.18247267421298574 -0.5029209637585075
11.5 152.14026287777764 0.1691577371630314 -0.4962034723850014
11.7 152.1357039655269 0.1626808026926201 -0.4897379584067463
11.9 152.13702984042376 0.1617372290659561 -0.4760178262526593
12.1 152.13986429944813 0.15806222954674382 -0.4560428358497044
12.3 152.14985748622055 0.15313637428037857 -0.4412759316287066
12.5 152.16117941536638 0.1588852129833851 -0.4268165969569231
12.7 152.17639133140247 0.18290266971246782 -0.40739830452414294
12.9 152.20598892150824 0.1897337083586712 -0.3901601774488528
13.1 152.2351829068532 0.18429440061112246 -0.40757462512264575
13.3 152.25858949605438 0.21386159837211727 -0.4085677392810476
13.5 152.144644825473 0.2628640510519086 -0.2962992132707827
13.7 152.01622155542273 0.26823705404151227 -0.2568553278790895
13.9 151.91749324099828 0.21853715210274816 -0.23562355597971485
14.1 151.82539291091746 0.204107325197038 -0.17704381714538098
14.3 151.7476781515513 0.19364683377922753 -0.0755294273859004
14.5 151.73223918897014 0.2125564127779891 -0.0712174645160033
14.7 151.74257649670326 0.23551751889376527 -0.06313970683565051
14.9 151.76583218259296 0.2626435198692747 -0.0374114275270383
15.1 151.79084181945902 0.28063352118807616 -0.014551954509269827
15.3 151.81498693676784 0.3177271667980639 0.011217474833379537
15.5 151.83712716130682 0.36296209558365256 0.032615589870202855
15.7 151.8488530690544 0.38950676285178587 0.04468537866376798
15.9 151.85519150250525 0.4150547252743464 0.0405436222241522
16.1 151.86526043009908 0.4508637457980018 0.008144011630063286
16.3 151.87059396275313 0.47718058693143095 -0.031866324806332
16.5 151.8784073700513 0.4946001491122247 -0.0749151818435978
16.7 151.8805918897748 0.5179455565413738 -0.12431476173356693
16.9 151.88566056338004 0.5419736422528922 -0.15845858168973992
17.1 151.9023654227156 0.572098269907305 -0.178715642860098
17.3 151.91180831021975 0.5827517355894791 -0.21459955966459177
17.5 151.92402655704024 0.5978883316884631 -0.2398279469311544
17.7 151.93282467670494 0.6097688590254541 -0.2720281626172065
17.9 151.9527148687464 0.603817702545628 -0.32774402912462985
18.1 151.9789813335239 0.5916188214258427 -0.37184126225969427
18.3 151.99232039191673 0.58826827507654 -0.4286383919160821
18.5 151.99306033644183 0.5767964159432424 -0.46928336641329915
18.7 151.98845494038528 0.5595745383161856 -0.49306885324753624
18.9 151.98278923679572 0.5418097401339177 -0.5270879411524594
19.1 151.97280882353027 0.5255466235294497 -0.560998708823468
19.3 151.9594918933044 0.5055818970233075 -0.5783330354253997
19.5 151.95052804293766 0.4704140493953046 -0.6067257280982288
19.7 151.94550177587416 0.42595107060624127 -0.6575064562461788
19.9 151.93897374217647 0.3912654944209306 -0.6888302826134518
20.1 151.93198306977445 0.3537810729973403 -0.7022395803575296
20.3 151.91687081157076 0.29986974792306054 -0.7150852874247928
20.5 151.9211951838907 0.27878244126719 -0.7096180538714139
20.7 151.91239317027566 0.242555657292975 -0.6626896863444216
20.9 151.89539597276823 0.20030723431068953 -0.6325423236986949
21.1 151.88485489846477 0.18023268575614404 -0.605681316831804
21.3 151.88053371996733 0.14345338964324128 -0.5773455813997863
21.5 151.86864797737633 0.10977551796510587 -0.5528753855403301
21.7 151.85618308238253 0.08449045613373318 -0.5412077275044592
21.9 151.82432311335918 0.05819313036584495 -0.5182145295632843
22.1 151.79976933495374 0.039593286793324634 -0.4896898876510374
22.3 151.78594394294205 0.019586153898969005 -0.4568476221676421
22.5 151.76609578185221 0.006010182605370451 -0.4334380963219826
22.7 151.74728101293164 -0.008045142995776189 -0.4211288983538086
22.9 151.7443669680499 -0.03013367730447225 -0.41220224494086455
23.1 151.74863484353037 -0.05142663269591763 -0.41521546593344594
23.3 151.7436678469788 -0.06780904456967596 -0.4323590338387717
23.5 151.73374627174675 -0.07819862995035232 -0.4399369084506698
23.7 151.73121784697943 -0.08922023399073625 -0.4300132432601118
23.9 151.72499614026967 -0.09642604424211632 -0.41054507717768374
24.1 151.73281846818867 -0.11568658343569238 -0.3713776938556293
24.3 151.75221611973433 -0.10760416469851353 -0.3707782500815773
24.5 151.7588261409872 -0.11959852040627617 -0.33221821895840975
24.7 151.76451671049173 -0.11937979853391102 -0.2979327190156953
24.9 151.779683588488 -0.11955066260581823 -0.31322478598423764
25.1 151.7957364972442 -0.11881009994958319 -0.30296167651765527
25.3 151.82232164798197 -0.1180218940861968 -0.298858481539947
25.5 151.84532515038904 -0.11727129458594013 -0.30691367767717304
25.7 151.85584531896998 -0.1003080923198838 -0.2978497345899509
25.9 151.85390377327744 -0.08932333556678634 -0.2846290591134366
26.1 151.85947142394127 -0.09222638162667629 -0.28918399336143774
26.3 151.87221123328354 -0.09154080323687563 -0.2975623821802199
26.5 151.87883606498409 -0.08765186987862175 -0.3074084770362795
26.7 151.8818116062078 -0.09728609932252219 -0.33006341214622914
26.9 151.88622643997053 -0.11326356103165253 -0.35015391012568986
27.1 151.89401797485607 -0.1140221631136733 -0.3610250506466959
27.3 151.9091951857367 -0.10642063686165826 -0.3699613228526655
27.5 151.91097627066623 -0.09560804973956727 -0.3545119242190382
27.7 151.91649746406884 -0.08338283782265954 -0.3391696016338772
27.9 151.9109999999973 -0.09142550904738944 -0.3255597673571946
28.1 151.91099999999727 -0.07723020512016121 -0.31609043976803974
28.3 151.88808444400698 -0.0779534781196739 -0.3042699761336938
