Номер Координата    X   Y   H
1795,000 1110,121765 994,966059 999,82391
1796,000 1111,685181 995,025069 999,820653
1797,000 1113,248597 995,084079 999,817396
1798,000 1114,812014 995,143089 999,81414
1799,000 1116,37543 995,202099 999,810883
1800,000 1117,938846 995,261109 999,807626
1801,000 1119,502262 995,320119 999,804369
1802,000 1121,065679 995,379129 999,801112
1803,000 1122,629095 995,438139 999,797856
1804,000 1124,192511 995,497149 999,794599
1805,000 1125,743178 995,556023 999,790879
1806,000 1127,290973 995,614866 999,787055
1807,000 1128,838768 995,673709 999,783231
1808,000 1130,386562 995,732552 999,779407
1809,000 1131,934357 995,791396 999,775583
1810,000 1133,482152 995,850239 999,771759
1811,000 1135,029946 995,909082 999,767935
1812,000 1136,577741 995,967925 999,764111
1813,000 1138,125536 996,026768 999,760287
1814,000 1139,67333 996,085612 999,756463
1815,000 1141,221125 996,144455 999,752639
1816,000 1142,76892 996,203298 999,748815
1817,000 1144,316675 996,262141 999,744993
1818,000 1145,848334 996,321023 999,742255
1819,000 1147,379993 996,379905 999,739516
1820,000 1148,911652 996,438788 999,736777
1821,000 1150,443311 996,49767 999,734039
1822,000 1151,97497 996,556552 999,7313
1823,000 1153,506629 996,615434 999,728561
1824,000 1155,038287 996,674316 999,725823
1825,000 1156,569946 996,733198 999,723084
1826,000 1158,101605 996,79208 999,720345
1827,000 1159,633264 996,850962 999,717606
1828,000 1161,164923 996,909844 999,714868
1829,000 1162,696582 996,968726 999,712129
1830,000 1164,22041 997,026777 999,709519
1831,000 1165,738747 997,084245 999,707
1832,000 1167,257084 997,141713 999,704481
1833,000 1168,775421 997,199181 999,701962
1834,000 1170,293758 997,256649 999,699443
1835,000 1171,812094 997,314117 999,696924
1836,000 1173,330431 997,371585 999,694404
1837,000 1174,848768 997,429053 999,691885
1838,000 1176,367105 997,486521 999,689366
1839,000 1177,885442 997,543989 999,686847
1840,000 1179,403778 997,601457 999,684328
1841,000 1180,922115 997,658925 999,681809
1842,000 1182,440452 997,716393 999,67929
1843,000 1183,946466 997,774762 999,676245
1844,000 1185,45088 997,833248 999,673132
1845,000 1186,955293 997,891734 999,67002
1846,000 1188,459707 997,95022 999,666907
1847,000 1189,96412 998,008706 999,663794
1848,000 1191,468534 998,067192 999,660682
1849,000 1192,972947 998,125677 999,657569
1850,000 1194,477361 998,184163 999,654456
1851,000 1195,981775 998,242649 999,651344
1852,000 1197,486188 998,301135 999,648231
1853,000 1198,990602 998,359621 999,645118
1854,000 1200,495015 998,418107 999,642006
1855,000 1201,989839 998,475716 999,640495
1856,000 1203,480086 998,532907 999,63975
1857,000 1204,970333 998,590098 999,639004
1858,000 1206,46058 998,647289 999,638258
1859,000 1207,950827 998,70448 999,637513
1860,000 1209,441074 998,761671 999,636767
1861,000 1210,931321 998,818862 999,636021
1862,000 1212,421568 998,876053 999,635276
1863,000 1213,911815 998,933244 999,63453
1864,000 1215,402062 998,990435 999,633784
1865,000 1216,892309 999,047626 999,633039
1866,000 1218,382556 999,104817 999,632293
1867,000 1219,872804 999,162008 999,631547
1868,000 1221,359623 999,219509 999,630497
1869,000 1222,836975 999,277865 999,628604
1870,000 1224,314326 999,336221 999,626712
1871,000 1225,791677 999,394577 999,624819
1872,000 1227,269028 999,452932 999,622927
1873,000 1228,74638 999,511288 999,621034
1874,000 1230,223731 999,569644 999,619141
1875,000 1231,701082 999,628 999,617249
1876,000 1233,178433 999,686356 999,615356
1877,000 1234,655785 999,744712 999,613463
1878,000 1236,133136 999,803068 999,611571
1879,000 1237,610487 999,861424 999,609678
1880,000 1239,087838 999,91978 999,607786
1881,000 1240,56102 999,976625 999,603702
1882,000 1242,031244 1000,032399 999,598064
1883,000 1243,501468 1000,088172 999,592425
1884,000 1244,971691 1000,143945 999,586787
1885,000 1246,441915 1000,199719 999,581149
1886,000 1247,912139 1000,255492 999,57551
1887,000 1249,382362 1000,311266 999,569872
1888,000 1250,852586 1000,367039 999,564234
1889,000 1252,32281 1000,422812 999,558595
1890,000 1253,793033 1000,478586 999,552957
1891,000 1255,263257 1000,534359 999,547319
1892,000 1256,733481 1000,590133 999,541681
1893,000 1258,203704 1000,645906 999,536042
1894,000 1259,668049 1000,700887 999,531619
1895,000 1261,125504 1000,754939 999,528621
1896,000 1262,582958 1000,808991 999,525622
1897,000 1264,040413 1000,863043 999,522623
