Путь Время,mc Скорость Отметка Шаблон Статус Курс Крен Тангаж Vn Ve Vh Широта Долгота Высота Ax Ay Az 
0,19062000513 62148 0 Piket 1484,6 <Авт-Навиг> 152,811 -0,450229 -0,300907 -0,523453 0,349022 0 55,76384450643 37,72283652160 163,09736633301 -0,0464502 9,82446 0,215361
0,40242001414 63037 0 <_____> 1486 <Авт-Навиг> 152,81 -0,435097 -0,304897 -0,937306 0,566205 0 55,76384292972 37,72283829033 163,09896850586 0,458535 9,53254 0,149693
0,61422002316 63655 0,76248 <_____> 1486 <Авт-Навиг> 152,789 -0,412659 -0,335197 -1,11704 0,665998 0 55,76384131787 37,72283999226 163,09609985352 0,103127 9,76528 0,158664
0,82602000237 64258 0 <_____> 1484,4 <Авт-Навиг> 152,75 -0,397193 -0,321653 -1,04948 0,628056 0 55,76383971673 37,72284168277 163,10394287109 -0,19333 9,43198 0,0362997
1,03781998158 64834 0,76248 <_____> 1485 <Авт-Навиг> 152,717 -0,384664 -0,286141 -1,17984 0,699074 0 55,76383810300 37,72284338300 163,08811950684 0,0625111 9,69396 -0,0130043
1,24961996078 65384 0 <_____> 1485 <Авт-Навиг> 152,683 -0,360172 -0,306875 -1,23449 0,726727 0 55,76383650399 37,72284505685 163,09452819824 0,400719 9,8021 -0,106456
1,46142005920 65863 0,76248 <_____> 1485,4 <Авт-Навиг> 152,677 -0,346713 -0,29399 -1,50762 0,861991 0 55,76383488681 37,72284672651 163,06439208984 0,368395 9,97503 -0,20137
1,67322003841 66236 0,76248 <_____> 1485,4 <Авт-Навиг> 152,656 -0,343258 -0,271293 -1,89673 1,06507 0 55,76383327395 37,72284835471 163,06777954102 -0,04414 9,88412 -0,116876
1,88502001762 66571 0,76248 <_____> 1485,2 <Авт-Навиг> 152,633 -0,320864 -0,250554 -1,98679 1,12581 0 55,76383165889 37,72284996838 163,02516174316 0,192937 8,57441 -0,0101326
2,09682011604 66896 0,76248 <_____> 1484,8 <Авт-Навиг> 152,623 -0,30896 -0,253746 -2,03325 1,14206 0 55,76383001623 37,72285160449 163,02746582031 0,0316887 9,79288 0,098747
2,30861997604 67222 0,76248 <_____> 1484,6 <Авт-Навиг> 152,603 -0,292517 -0,241469 -1,95785 1,11056 0 55,76382838412 37,72285323385 163,02978515625 0,0062983 9,44795 -0,0801655
2,52042007446 67552 1,52496 <_____> 1484,6 <Авт-Навиг> 152,572 -0,281713 -0,233921 -2,012 1,13354 0 55,76382674344 37,72285487624 163,03195190430 -0,0536311 10,3477 0,309006
2,73221993446 67871 0,76248 <_____> 1484,6 <Авт-Навиг> 152,549 -0,25868 -0,224558 -2,05212 1,15222 0 55,76382514136 37,72285647615 162,99044799805 -0,183312 9,9242 0,10771
2,94402003288 68183 0,762479 <_____> 1484,6 <Авт-Навиг> 152,507 -0,228593 -0,191913 -2,09575 1,18669 0 55,76382351715 37,72285809992 162,99212646484 0,111156 9,17925 0,0638356
3,15582013130 68492 0,76248 <_____> 1484 <Авт-Навиг> 152,468 -0,208139 -0,185185 -2,13075 1,19965 0 55,76382187052 37,72285974599 162,99357604980 0,37808 9,903 0,316615
3,36761999130 68792 0,76248 <_____> 1484 <Авт-Навиг> 152,443 -0,178499 -0,154963 -2,24769 1,2469 0 55,76382024331 37,72286136611 162,94439697266 0,239595 10,0841 0,0333672
