Путь Время,mc Скорость Отметка Шаблон Статус Курс Крен Тангаж Vn Ve Vh Широта Долгота Высота Ax Ay Az 
710,73724365234 20605 0 <_____> 1480,6 <Интегр-Навиг> 135,639 0,304887 0,448422 0,442225 -0,262051 0 55,75855684766 37,72854031411 168,96098327637 0,0458192 9,78989 -0,0518332
710,52545166016 21442 -0,457471 <_____> 1480,8 <Интегр-Навиг> 135,699 0,297399 0,432684 1,18517 -0,98012 0 55,75855843195 37,72853820531 168,79940795898 -0,259033 9,77728 -0,0621649
710,31365966797 21872 -0,609961 Piket 1480,8 <Интегр-Навиг> 135,713 0,28993 0,437519 1,4851 -1,27151 0 55,75855938884 37,72853607006 168,64210510254 0,10372 9,36756 -0,085826
710,10186767578 22232 -0,838696 <_____> 1480,8 <Интегр-Навиг> 135,711 0,282851 0,428065 1,78612 -1,56945 0 55,75856084532 37,72853381661 168,56942749023 -0,0743528 9,81355 -0,278014
709,89007568359 22537 -0,838696 <_____> 1481 <Интегр-Навиг> 135,703 0,287447 0,421424 1,9616 -1,75321 0 55,75856034398 37,72853426596 168,42994689941 0,442912 10,1265 -0,0879727
709,67828369141 22821 -0,991186 <_____> 1481,2 <Интегр-Навиг> 135,704 0,305953 0,41147 2,06729 -1,85744 0 55,75856175565 37,72853202560 168,37174987793 -0,504475 9,25598 -0,210238
709,46649169922 23091 -1,06743 <_____> 1481,2 <Интегр-Навиг> 135,707 0,299383 0,412622 2,13712 -1,91972 0 55,75856319319 37,72852973530 168,31466674805 -0,104376 10,0109 0,0503056
709,25463867188 23352 -1,1439 <_____> 1481,6 <Интегр-Навиг> 135,717 0,332303 0,413402 2,23185 -2,01478 0 55,75856460666 37,72852747721 168,26029968262 0,559093 9,99069 -0,012829
709,04284667969 23600 -1,1439 <_____> 1481,8 <Интегр-Навиг> 135,725 0,337336 0,442109 2,29882 -2,08632 0 55,75856104631 37,72853371824 168,12686157227 0,0804227 9,49494 0,071777
708,83105468750 23841 -1,21992 <_____> 1482,2 <Интегр-Навиг> 135,731 0,355758 0,459332 2,35817 -2,12657 0 55,75856243972 37,72853148050 168,07545471191 0,227026 10,0467 -0,0348957
708,61926269531 24078 -1,21992 <_____> 1482,6 <Интегр-Навиг> 135,718 0,374313 0,468304 2,40783 -2,17945 0 55,75856385868 37,72852919826 168,02395629883 0,384589 9,64343 0,175243
708,40747070313 24304 -1,29617 <_____> 1482,8 <Интегр-Навиг> 135,718 0,389122 0,507648 2,52354 -2,29817 0 55,75856525906 37,72852693936 167,97497558594 0,0908445 10,5093 0,111866
708,19567871094 24520 -1,29617 <_____> 1482,8 <Интегр-Навиг> 135,733 0,404387 0,5251 2,58275 -2,34604 0 55,75855947371 37,72853726733 167,84539794922 0,181415 9,9923 -0,0680361
707,98388671875 24729 -1,37241 <_____> 1482,8 <Интегр-Навиг> 135,741 0,412975 0,54951 2,65105 -2,41943 0 55,75856082155 37,72853508567 167,79969787598 0,213499 9,30783 -0,248583
707,77209472656 24933 -1,37241 <_____> 1482,8 <Интегр-Навиг> 135,76 0,413414 0,562167 2,7273 -2,49129 0 55,75856220451 37,72853284503 167,75375366211 -0,380307 9,73523 -0,0792388
707,56024169922 25133 -1,5249 <_____> 1482,8 <Интегр-Навиг> 135,766 0,424659 0,554304 2,76974 -2,5371 0 55,75856357460 37,72853062279 167,70930480957 -0,0112457 9,54833 -0,0368936
707,34844970703 25330 -1,5249 <_____> 1482,8 <Интегр-Навиг> 135,772 0,433361 0,557578 2,7955 -2,56118 0 55,75856496272 37,72852836860 167,66468811035 -0,59343 9,4433 0,199666
707,13665771484 25527 -1,52512 <_____> 1483 <Интегр-Навиг> 135,772 0,433322 0,538043 2,79938 -2,5705 0 55,75856630815 37,72852618392 167,52728271484 -0,204017 10,1387 -0,0992725
706,92486572266 25721 -1,52512 <_____> 1483 <Интегр-Навиг> 135,797 0,452454 0,480163 2,80917 -2,57148 0 55,75856709485 37,72852432099 167,48327636719 -0,238282 8,77533 -0,223411
706,71307373047 25916 -1,5249 <_____> 1483 <Интегр-Навиг> 135,8 0,463458 0,461906 2,80553 -2,55395 0 55,75856849527 37,72852205013 167,43788146973 0,217392 9,56167 -0,517274
706,50128173828 26112 -1,5249 <_____> 1483,2 <Интегр-Навиг> 135,802 0,471251 0,432069 2,80562 -2,56811 0 55,75856984962 37,72851985560 167,39387512207 -0,385558 9,64355 -0,198127
706,28948974609 26307 -1,60115 <_____> 1483,4 <Интегр-Навиг> 135,809 0,489521 0,404591 2,82879 -2,58546 0 55,75857120480 37,72851765898 167,34994506836 0,0147724 9,84689 -0,39608
706,07763671875 26503 -1,60115 <_____> 1483,4 <Интегр-Навиг> 135,812 0,508377 0,381697 2,80138 -2,56216 0 55,75857231319 37,72851567757 167,20967102051 -0,524381 8,74394 -0,397183
705,86584472656 26698 -1,52512 <_____> 1483,4 <Интегр-Навиг> 135,809 0,521747 0,351421 2,80708 -2,58047 0 55,75857367043 37,72851347650 167,16496276855 0,0734124 9,46638 0,111181
705,65405273438 26893 -1,52512 <_____> 1483,4 <Интегр-Навиг> 135,798 0,541059 0,354366 2,80305 -2,55289 0 55,75857502668 37,72851127547 167,12049865723 -0,177528 9,32018 -0,39101
705,44226074219 27090 -1,60115 <_____> 1483,4 <Интегр-Навиг> 135,786 0,533859 0,342957 2,79829 -2,56144 0 55,75857642261 37,72850901266 167,07440185547 -0,307231 10,0136 0,371338
705,23046875000 27286 -1,60115 <_____> 1483,4 <Интегр-Навиг> 135,784 0,553053 0,335667 2,78969 -2,54987 0 55,75857776775 37,72850683111 167,02993774414 -0,0993197 9,7665 -0,307504
705,01867675781 27484 -1,5249 <_____> 1483,4 <Интегр-Навиг> 135,784 0,548599 0,319344 2,78343 -2,54183 0 55,75857953008 37,72850426957 166,90235900879 -0,366329 9,0365 -0,223506
704,80688476563 27682 -1,5249 <_____> 1483,4 <Интегр-Навиг> 135,771 0,535168 0,33386 2,78184 -2,54531 0 55,75858087320 37,72850209558 166,85717773438 0,567454 10,2909 0,211928
704,59509277344 27879 -1,5249 <_____> 1483,2 <Интегр-Навиг> 135,77 0,522251 0,317451 2,79613 -2,56069 0 55,75858226368 37,72849984294 166,81039428711 -0,197415 9,75182 0,279552
704,38323974609 28075 -1,5249 <_____> 1483 <Интегр-Навиг> 135,766 0,511988 0,299368 2,82165 -2,57888 0 55,75858361922 37,72849764618 166,76527404785 0,112301 9,68594 -0,52549
704,17144775391 28269 -1,60137 <_____> 1482,8 <Интегр-Навиг> 135,753 0,490656 0,287226 2,82909 -2,59293 0 55,75858502772 37,72849536063 166,71859741211 -0,755455 9,48326 -0,22785
703,95965576172 28463 -1,60137 <_____> 1482,6 <Интегр-Навиг> 135,777 0,483604 0,255549 2,82128 -2,58214 0 55,75858638999 37,72849315093 166,62765502930 -0,257081 9,74062 0,0249385
703,74786376953 28657 -1,5249 <_____> 1482,4 <Интегр-Навиг> 135,789 0,461413 0,230526 2,84792 -2,59534 0 55,75858773381 37,72849034701 166,58222961426 0,199931 9,69273 -0,285745
703,53607177734 28850 -1,5249 <_____> 1482,4 <Интегр-Навиг> 135,809 0,43241 0,190248 2,84895 -2,60479 0 55,75858910482 37,72848812854 166,53688049316 0,175743 10,2404 -0,00329246
703,32427978516 29040 -1,60115 <_____> 1482,4 <Интегр-Навиг> 135,83 0,40943 0,136527 2,89321 -2,65005 0 55,75859044285 37,72848596627 166,49320983887 -0,890427 9,18151 0,17216
703,11248779297 29229 -1,60115 <_____> 1482,8 <Интегр-Навиг> 135,844 0,387816 0,100225 2,89494 -2,65086 0 55,75859184306 37,72848370038 166,44802856445 -0,12885 9,92774 0,161561
702,90063476563 29418 -1,60115 <_____> 1483,6 <Интегр-Навиг> 135,856 0,369289 0,0805901 2,90953 -2,67099 0 55,75859320214 37,72848149955 166,40438842773 0,28378 9,74497 0,332322
702,68884277344 29604 -1,60115 <_____> 1484,6 <Интегр-Навиг> 135,869 0,37076 0,0416154 2,93909 -2,68819 0 55,75859451740 37,72847810203 166,37287902832 0,469278 9,74281 0,0404685
702,47705078125 29791 -1,67761 <_____> 1485 <Интегр-Навиг> 135,882 0,372501 0,0284556 2,94228 -2,68542 0 55,75859588620 37,72847588302 166,32962036133 -0,5261 9,2669 -0,0469952
702,26525878906 29978 -1,67761 <_____> 1485,8 <Интегр-Навиг> 135,88 0,369698 0,0357605 2,94947 -2,69169 0 55,75859725637 37,72847366492 166,28640747070 0,00244332 9,94815 0,0591534
702,05346679688 30165 -1,60115 <_____> 1486,4 <Интегр-Навиг> 135,881 0,371159 0,0337205 2,93273 -2,68551 0 55,75859863022 37,72847143984 166,24316406250 0,0350997 9,37901 -0,154033
701,84167480469 30353 -1,60115 <_____> 1486,6 <Интегр-Навиг> 135,895 0,37566 0,0460969 2,92234 -2,66055 0 55,75859999169 37,72846923560 166,19987487793 -0,305994 9,36609 0,0606531
701,62988281250 30542 -1,60115 <_____> 1486,4 <Интегр-Навиг> 135,905 0,376713 0,0590266 2,90806 -2,65578 0 55,75860124337 37,72846613834 166,22271728516 -0,194444 10,3177 0,231882
701,41809082031 30732 -1,60115 <_____> 1486,4 <Интегр-Навиг> 135,914 0,385592 0,0711712 2,89553 -2,63394 0 55,75860264474 37,72846387237 166,17872619629 -0,416274 9,27985 -0,230793
701,20623779297 30921 -1,60115 <_____> 1486,4 <Интегр-Навиг> 135,922 0,373932 0,0780689 2,90559 -2,64395 0 55,75860399634 37,72846168930 166,13604736328 -0,374563 9,8778 0,078917
700,99444580078 31111 -1,60137 <_____> 1486,2 <Интегр-Навиг> 135,927 0,37128 0,0829457 2,87143 -2,62131 0 55,75860539409 37,72845943137 166,09188842773 -0,675616 8,29929 -0,170205
700,78265380859 31304 -1,60137 <_____> 1485,6 <Интегр-Навиг> 135,921 0,378703 0,0915973 2,87117 -2,61647 0 55,75860677654 37,72845719553 166,04759216309 -0,608585 9,74121 -0,0869683
700,57086181641 31496 -1,60115 <_____> 1485 <Интегр-Навиг> 135,921 0,374594 0,0774987 2,85629 -2,6085 0 55,75860815410 37,72845496969 166,13856506348 -0,672257 9,61171 0,218777
700,35906982422 31689 -1,60115 <_____> 1484,8 <Интегр-Навиг> 135,922 0,381619 0,0780818 2,84843 -2,61113 0 55,75860911882 37,72845190212 166,09722900391 -0,72278 9,99085 0,203644
700,14727783203 31881 -1,60115 Piket 1484,4 <Интегр-Навиг> 135,933 0,376246 0,0755747 2,87413 -2,61913 0 55,75861049926 37,72844966817 166,05451965332 -0,3481 8,7735 -0,176648
699,93548583984 32071 -1,60115 <_____> 1484,2 <Интегр-Навиг> 135,932 0,379328 0,0595746 2,91697 -2,66988 0 55,75861189634 37,72844740547 166,01164245605 -0,310146 9,33375 0,0207762
699,72369384766 32260 -1,60115 <_____> 1484 <Интегр-Навиг> 135,935 0,390502 0,0340102 2,90163 -2,65735 0 55,75861325089 37,72844520810 165,97029113770 0,0728408 10,4529 0,660605
699,51184082031 32449 -1,60115 <_____> 1484 <Интегр-Навиг> 135,931 0,399371 0,0191692 2,88429 -2,63756 0 55,75861464818 37,72844294172 166,10664367676 -0,347744 9,48053 -0,322431
699,30004882813 32640 -1,60137 <_____> 1483,8 <Интегр-Навиг> 135,923 0,411449 -0,00299251 2,89219 -2,64167 0 55,75861582898 37,72843997606 166,06721496582 0,101617 9,57982 0,0845655
699,08825683594 32830 -1,60137 <_____> 1483,8 <Интегр-Навиг> 135,912 0,415846 -0,0270061 2,87998 -2,63344 0 55,75861722061 37,72843771953 166,02638244629 -0,66442 9,50845 0,244005
698,87646484375 33022 -1,60115 <_____> 1484 <Интегр-Навиг> 135,906 0,422879 -0,015186 2,88423 -2,64327 0 55,75861856579 37,72843553974 165,98695373535 0,410805 9,88158 0,0899774
698,66467285156 33213 -1,60115 <_____> 1484 <Интегр-Навиг> 135,926 0,437728 -0,0054396 2,8527 -2,59789 0 55,75861995397 37,72843329201 165,94610595703 0,576987 9,62183 0,0103151
698,45288085938 33406 -1,60115 <_____> 1484,2 <Интегр-Навиг> 135,927 0,451774 0,00743056 2,8139 -2,57987 0 55,75862132600 37,72843107160 165,90530395508 -0,443541 9,36578 0,00377977
698,24108886719 33601 -1,60115 <_____> 1484,4 <Интегр-Навиг> 135,924 0,460058 0,0271497 2,82446 -2,59161 0 55,75862258590 37,72842763298 166,07696533203 -0,450884 9,27143 0,284389
698,02923583984 33795 -1,60115 <_____> 1484,6 <Интегр-Навиг> 135,913 0,480573 0,0459465 2,84655 -2,60262 0 55,75862395410 37,72842541525 166,03826904297 0,372736 9,6792 0,2557
697,81744384766 33989 -1,60115 <_____> 1484,4 <Интегр-Навиг> 135,788 0,481996 -0,0147587 2,83107 -2,65359 0 55,75862538600 37,72842308303 165,99862670898 -0,122904 9,50714 0,681538
697,60565185547 34180 -1,52512 <_____> 1484 <Интегр-Навиг> 135,832 0,527525 -0,0387941 2,87705 -2,6393 0 55,75862671955 37,72842091168 165,96154785156 -0,343565 8,75412 -0,298411
697,39385986328 34371 -1,52512 <_____> 1483,8 <Интегр-Навиг> 135,847 0,550125 -0,103772 2,86408 -2,61415 0 55,75862810412 37,72841866186 165,92294311523 -0,269196 9,31166 -0,0399335
697,18206787109 34563 -1,60115 <_____> 1483,4 <Интегр-Навиг> 135,854 0,569055 -0,157763 2,85004 -2,60221 0 55,75862924729 37,72841552595 166,11253356934 0,839924 9,06949 -0,212017
696,97027587891 34756 -1,60115 <_____> 1483,2 <Интегр-Навиг> 135,857 0,546466 -0,178134 2,85253 -2,61351 0 55,75863062034 37,72841330086 166,07638549805 -0,205086 9,33189 0,215781
696,75848388672 34948 -1,60115 <_____> 1483 <Интегр-Навиг> 135,866 0,559271 -0,226276 2,88233 -2,61067 0 55,75863195440 37,72841113354 166,04130554199 -0,431536 7,27022 -0,696148
696,54669189453 35139 -1,60115 <_____> 1483 <Интегр-Навиг> 135,871 0,565112 -0,182584 2,86102 -2,64296 0 55,75863333823 37,72840888076 166,00604248047 -0,608627 9,33962 -0,381077
696,33483886719 35331 -1,60115 <_____> 1483 <Интегр-Навиг> 135,875 0,579833 -0,14079 2,87694 -2,64006 0 55,75863472283 37,72840662992 165,97042846680 -0,579675 9,41215 0,311949
696,12304687500 35522 -1,60137 <_____> 1482,8 <Интегр-Навиг> 135,868 0,58214 -0,130431 2,89387 -2,65787 0 55,75863595019 37,72840306733 166,18289184570 0,182876 9,95766 0,0968035
695,91125488281 35713 -1,60137 <_____> 1482,4 <Интегр-Навиг> 135,866 0,577955 -0,110501 2,87227 -2,63633 0 55,75863729471 37,72840087920 166,15074157715 -0,360092 8,94302 -0,124407
695,69946289063 35904 -1,60115 <_____> 1482,4 <Интегр-Навиг> 135,869 0,580612 -0,107756 2,87425 -2,64255 0 55,75863868211 37,72839862191 166,11749267578 -0,450567 9,60374 0,178977
695,48767089844 36095 -1,60115 <_____> 1482,6 <Интегр-Навиг> 135,87 0,587559 -0,113491 2,88167 -2,63524 0 55,75864002439 37,72839643842 166,08520507813 -0,249574 9,43804 -0,0859862
695,27587890625 36287 -1,60115 <_____> 1482,8 <Интегр-Навиг> 135,848 0,582472 -0,0946504 2,88976 -2,64739 0 55,75864141094 37,72839418258 166,05165100098 -0,619693 9,42977 -0,0482893
695,06408691406 36478 -1,60115 <_____> 1483 <Интегр-Навиг> 135,853 0,590052 -0,0948348 2,87945 -2,64231 0 55,75864257638 37,72839100183 166,30606079102 -0,171722 9,12561 -0,330969
694,85229492188 36667 -1,60115 <_____> 1483,2 <Интегр-Навиг> 135,865 0,598719 -0,0957223 2,88063 -2,6468 0 55,75864392665 37,72838880103 166,27658081055 0,174277 9,87682 0,170281
694,64044189453 36857 -1,60115 <_____> 1483,2 <Интегр-Навиг> 135,86 0,601338 -0,088236 2,90686 -2,6649 0 55,75864532193 37,72838652737 166,24610900879 -0,884967 9,29461 0,102968
694,42864990234 37046 -1,60137 <_____> 1483,6 <Интегр-Навиг> 135,861 0,616086 -0,0785228 2,92828 -2,70172 0 55,75864668045 37,72838431305 166,21656799316 -0,227613 10,0252 -0,135851
694,21685791016 37234 -1,60137 <_____> 1483,6 <Интегр-Навиг> 135,856 0,609487 -0,0647033 2,92713 -2,6955 0 55,75864804033 37,72838209568 166,18696594238 -0,457782 9,72622 0,0366701
694,00506591797 37420 -1,60115 <_____> 1484 <Интегр-Навиг> 135,856 0,61145 -0,0737168 2,96178 -2,73647 0 55,75864941354 37,72837985542 166,15719604492 -1,0119 9,80895 -0,0256537
693,79327392578 37604 -1,60115 <_____> 1484 <Интегр-Навиг> 135,854 0,605786 -0,0530646 2,98158 -2,75399 0 55,75865065051 37,72837680090 166,44273376465 0,152459 10,1209 0,682344
693,58148193359 37788 -1,67739 <_____> 1484 <Интегр-Навиг> 135,832 0,592625 -0,0388708 3,02089 -2,78275 0 55,75865199983 37,72837459444 166,41725158691 -0,305627 9,84836 -0,169063
693,36968994141 37969 -1,67739 <_____> 1484 <Интегр-Навиг> 135,806 0,592073 -0,0233543 3,03011 -2,79575 0 55,75865340868 37,72837229097 166,39067077637 -0,155878 9,83107 -0,165922
693,15783691406 38152 -1,67761 <_____> 1484 <Интегр-Навиг> 135,789 0,582511 -0,0186857 3,01923 -2,78839 0 55,75865476437 37,72837007462 166,36497497559 -0,179407 9,76937 0,175127
692,94604492188 38334 -1,67761 <_____> 1484 <Интегр-Навиг> 135,782 0,570429 -0,00545167 3,01096 -2,78088 0 55,75865611872 37,72836785788 166,33921813965 0,0858612 9,86672 -0,17184
692,73425292969 38515 -1,67761 <_____> 1484 <Интегр-Навиг> 135,771 0,557342 -0,000537783 3,00676 -2,78136 0 55,75865747854 37,72836563053 166,65927124023 0,535033 10,0974 -0,449924
692,52246093750 38698 -1,67739 <_____> 1484,2 <Интегр-Навиг> 135,749 0,553897 -0,0113265 3,02805 -2,80786 0 55,75865832837 37,72836206113 166,63601684570 -0,739885 10,2386 -0,107157
692,31066894531 38880 -1,67739 <_____> 1484,4 <Интегр-Навиг> 135,72 0,547904 0,00155593 3,01916 -2,79968 0 55,75865968543 37,72835983022 166,61363220215 0,413292 10,2565 -0,286612
692,09887695313 39062 -1,67739 <_____> 1484,6 <Интегр-Навиг> 135,702 0,547047 0,00652414 3,0037 -2,79037 0 55,75866103630 37,72835760733 166,59109497070 -0,135669 10,0012 0,0743596
691,88708496094 39243 -1,67739 <_____> 1484,6 <Интегр-Навиг> 135,691 0,542803 -0,007292 3,02545 -2,82831 0 55,75866244552 37,72835528752 166,56771850586 -0,563025 9,77909 0,343352
691,67529296875 39422 -1,67739 <_____> 1484,2 <Интегр-Навиг> 135,702 0,546857 -0,0278591 3,04357 -2,83049 0 55,75866376259 37,72835311813 166,54602050781 0,303526 9,97098 -0,604301
691,46343994141 39601 -1,67739 <_____> 1483,6 <Интегр-Навиг> 135,713 0,554279 -0,0274439 3,06427 -2,85879 0 55,75866504473 37,72834935223 166,86434936523 0,0655535 9,62686 0,0071479
691,25164794922 39778 -1,67761 <_____> 1483,2 <Интегр-Навиг> 135,733 0,565578 -0,0501031 3,08493 -2,86536 0 55,75866642679 37,72834707332 166,84515380859 0,0050785 9,08264 -0,481785
691,03985595703 39955 -1,67761 <_____> 1482,8 <Интегр-Навиг> 135,749 0,564692 -0,069625 3,07566 -2,85809 0 55,75866776130 37,72834487458 166,82669067383 -0,0938349 9,425 -0,179597
690,82806396484 40133 -1,67761 <_____> 1482,8 <Интегр-Навиг> 135,755 0,571366 -0,0701282 3,06988 -2,85907 0 55,75866914584 37,72834259497 166,80749511719 0,21105 10,2553 -0,13771
690,61627197266 40310 -1,75364 <_____> 1482,6 <Интегр-Навиг> 135,76 0,582531 -0,0861529 3,10591 -2,88604 0 55,75867053252 37,72834031009 166,78831481934 -0,448637 9,11903 -0,0930785
690,40447998047 40487 -1,75364 <_____> 1482,6 <Интегр-Навиг> 135,762 0,588394 -0,0817783 3,11109 -2,89728 0 55,75867171084 37,72833683898 167,12786865234 -0,237537 9,45755 -0,376855
690,19268798828 40662 -1,75364 <_____> 1482,6 <Интегр-Навиг> 135,775 0,602655 -0,0882545 3,10354 -2,88421 0 55,75867305513 37,72833462202 167,11283874512 0,389878 10,1213 -0,305299
689,98083496094 40838 -1,75364 <_____> 1482,8 <Интегр-Навиг> 135,777 0,612475 -0,0897885 3,09086 -2,86649 0 55,75867445051 37,72833232286 167,09724426270 0,197611 10,0857 -0,219973
689,76904296875 41016 -1,67761 Piket 1482,8 <Интегр-Навиг> 135,778 0,622708 -0,0770863 3,04305 -2,82727 0 55,75867583146 37,72833004764 167,08163452148 0,100373 9,65136 0,103189
689,55725097656 41199 -1,67761 <_____> 1483 <Интегр-Навиг> 135,765 0,638787 -0,0712587 3,00971 -2,78872 0 55,75867718531 37,72832781749 167,06593322754 -0,4913 9,47357 -0,146528
689,34545898438 41383 -1,67739 <_____> 1483,2 <Интегр-Навиг> 135,748 0,654377 -0,0676003 2,97301 -2,75195 0 55,75867857557 37,72832552821 167,04960632324 -0,516291 9,76371 -0,0932007
689,13366699219 41569 -1,67739 <_____> 1483,2 <Интегр-Навиг> 135,748 0,676331 -0,0556011 2,92371 -2,70888 0 55,75867988974 37,72832217734 167,40029907227 -0,518092 8,82557 0,0689316
688,92187500000 41757 -1,60115 <_____> 1483,4 <Интегр-Навиг> 135,735 0,688129 -0,0444153 2,89971 -2,69325 0 55,75868124656 37,72831994354 167,38775634766 0,0170812 10,0772 0,210572
688,71008300781 41946 -1,60115 <_____> 1483,6 <Интегр-Навиг> 135,732 0,695586 -0,0496715 2,92871 -2,72074 0 55,75868260024 37,72831771605 167,37501525879 -0,55332 10,1501 -0,244732
688,49829101563 42133 -1,60115 <_____> 1483,6 <Интегр-Навиг> 135,732 0,725955 -0,036066 2,94811 -2,73179 0 55,75868396575 37,72831546762 167,36225891113 0,850668 10,1525 -0,27491
688,28643798828 42320 -1,67739 <_____> 1483,8 <Интегр-Навиг> 135,724 0,736427 -0,0238257 2,93907 -2,7183 0 55,75868533357 37,72831321427 167,34957885742 -0,278587 8,91297 0,0585816
688,07464599609 42505 -1,67739 <_____> 1484 <Интегр-Навиг> 135,715 0,749148 -0,0309171 2,96328 -2,75935 0 55,75868701874 37,72831042500 167,68601989746 -0,243017 9,76133 -0,153967
687,86285400391 42690 -1,60137 <_____> 1484,2 <Интегр-Навиг> 135,726 0,772874 -0,02416 2,9658 -2,75076 0 55,75868840047 37,72830815071 167,67672729492 -0,217395 9,67575 -0,29901
687,65106201172 42874 -1,60137 <_____> 1483,6 <Интегр-Навиг> 135,727 0,780216 -0,0213278 2,98702 -2,77235 0 55,75868973481 37,72830595513 167,66777038574 0,000464031 9,49765 -0,28772
687,43927001953 43058 -1,67739 <_____> 1483 <Интегр-Навиг> 135,74 0,80162 -0,0343402 3,00022 -2,78108 0 55,75869112294 37,72830367051 167,65840148926 0,0194483 9,75664 -0,0269902
687,22747802734 43241 -1,67739 <_____> 1482,6 <Интегр-Навиг> 135,749 0,814918 -0,0340309 3,0017 -2,77765 0 55,75869246723 37,72830145879 167,64930725098 -0,180885 9,45271 -0,513145
687,01568603516 43423 -1,67739 <_____> 1482,6 <Интегр-Навиг> 135,755 0,826196 -0,0360237 3,01266 -2,80413 0 55,75869387025 37,72829915162 167,95440673828 -0,490385 9,98106 0,305416
686,80389404297 43604 -1,67739 <_____> 1482,8 <Интегр-Навиг> 135,76 0,846685 -0,0515029 3,02305 -2,80849 0 55,75869534984 37,72829599494 167,94854736328 -0,145395 9,34742 -0,185708
686,59204101563 43786 -1,67761 <_____> 1482 <Интегр-Навиг> 135,774 0,861278 -0,068582 3,02129 -2,81294 0 55,75869670671 37,72829376073 167,94258117676 -0,329335 9,73862 -0,0629025
686,38024902344 43966 -1,67761 <_____> 1481,2 <Интегр-Навиг> 135,782 0,879281 -0,0854669 3,04285 -2,82277 0 55,75869806795 37,72829152012 167,93672180176 -0,242164 10,4029 -0,119029
686,16845703125 44147 -1,67739 <_____> 1480,8 <Интегр-Навиг> 135,782 0,892735 -0,102536 3,0227 -2,80752 0 55,75869943132 37,72828927675 167,93086242676 -0,49095 9,52495 0,160702
685,95666503906 44328 -1,67739 <_____> 1480,8 <Интегр-Навиг> 135,78 0,910719 -0,111909 3,01433 -2,79727 0 55,75870078931 37,72828704203 167,92491149902 0,389404 10,2119 -0,542397
685,74487304688 44509 -1,67739 <_____> 1480,8 <Интегр-Навиг> 135,778 0,936269 -0,125731 3,03473 -2,8239 0 55,75870159330 37,72828291281 168,20080566406 -0,70294 9,26629 -0,150933
685,53308105469 44690 -1,67739 <_____> 1480,8 <Интегр-Навиг> 135,788 0,956848 -0,12934 3,02433 -2,8137 0 55,75870294940 37,72828067541 168,19772338867 -0,340453 9,43734 -0,132551
685,32128906250 44873 -1,67739 <_____> 1480,8 <Интегр-Навиг> 135,799 0,975513 -0,117339 3,01417 -2,80057 0 55,75870430112 37,72827844506 168,19464111328 -0,233336 9,54937 -0,512203
685,10943603516 45055 -1,67739 <_____> 1480,8 <Интегр-Навиг> 135,81 0,994972 -0,118739 3,00694 -2,78971 0 55,75870565361 37,72827621640 168,19158935547 -0,0260542 9,81063 -0,115965
684,89764404297 45237 -1,67739 <_____> 1480,8 <Интегр-Навиг> 135,814 1,0092 -0,109841 3,00143 -2,78951 0 55,75870705617 37,72827390593 168,18836975098 -0,178938 9,54212 -0,20112
684,68585205078 45420 -1,67761 <_____> 1481 <Интегр-Навиг> 135,834 1,02342 -0,104488 2,98156 -2,7698 0 55,75870840219 37,72827169057 168,18522644043 -0,0563576 9,64645 0,0495934
684,47406005859 45604 -1,67761 <_____> 1481 <Интегр-Навиг> 135,835 1,04124 -0,0955333 2,99005 -2,76439 0 55,75870944290 37,72826834779 168,49884033203 -0,117763 9,9522 -0,207955
684,26226806641 45787 -1,67739 <_____> 1481 <Интегр-Навиг> 135,848 1,04499 -0,100668 2,97872 -2,7604 0 55,75871078436 37,72826613833 168,49877929688 0,00727759 9,39691 -0,21697
684,05047607422 45970 -1,67739 <_____> 1481 <Интегр-Навиг> 135,858 1,03922 -0,0939507 3,01097 -2,78412 0 55,75871218151 37,72826384020 168,49864196777 0,0578545 9,64731 -0,165543
683,83868408203 46152 -1,67739 <_____> 1481 <Интегр-Навиг> 135,87 1,03814 -0,0924104 3,02769 -2,81254 0 55,75871353723 37,72826160792 168,49861145020 -0,209146 10,0845 -0,00248756
683,62689208984 46332 -1,67739 <_____> 1481,2 <Интегр-Навиг> 135,86 1,03133 -0,0885018 3,04852 -2,82649 0 55,75871490402 37,72825935735 168,49855041504 -0,374966 9,28556 -0,276574
683,41503906250 46514 -1,67739 <_____> 1481,2 <Интегр-Навиг> 135,86 1,02064 -0,0945376 3,02974 -2,80509 0 55,75871627102 37,72825663440 168,81895446777 -0,31633 9,44653 0,0562181
683,20324707031 46695 -1,67761 <_____> 1481,2 <Интегр-Навиг> 135,858 1,00635 -0,103596 3,01783 -2,7993 0 55,75871762994 37,72825439960 168,82215881348 -0,0356161 9,71681 -0,283911
682,99145507813 46876 -1,67761 <_____> 1481,2 <Интегр-Навиг> 135,848 0,987068 -0,101108 3,01674 -2,8014 0 55,75871904039 37,72825208043 168,82533264160 -0,0751154 9,39365 -0,136913
682,77966308594 47058 -1,67739 <_____> 1481,2 <Интегр-Навиг> 135,846 0,957774 -0,11615 3,00972 -2,79408 0 55,75872039386 37,72824985534 168,82827758789 0,167028 10,1908 -0,227887
682,56787109375 47242 -1,67739 <_____> 1481,2 <Интегр-Навиг> 135,833 0,942059 -0,102601 3,00722 -2,78928 0 55,75872179456 37,72824755286 168,83137512207 0,830269 9,86353 -0,457836
