№	Координата	Профиль правый	Ширина правой колеи	План правый	Уровень
845	 5854	48922.29924	1515	82402.63680000001	-19
846	 5855	48942.30018	1515	82272.63264	-19
847	 5856	48922.29924	1515	82182.62976000001	-19
848	 5857	48922.29924	1515	82062.62592	-18
849	 5858	48952.300650000005	1517	81942.62208	-18
850	 5859	48942.30018	1518	81802.6176	-14
851	 5860	48922.29924	1518	81702.6144	-14
852	 5861	48912.29877	1518	81582.61056	-14
853	 5862	48902.2983	1518	81462.60672	-18
854	 5863	48892.29783	1518	81322.60224	-21
855	 5864	48892.29783	1518	81182.59776	-21
856	 5865	48892.29783	1518	81182.59776	-22
857	 5866	48882.297360000004	1518	81082.59456	-23
858	 5867	48892.29783	1518	80802.5856	-25
859	 5868	48892.29783	1517	80682.58176000002	-25
860	 5869	48892.29783	1517	80562.57792000001	-27
861	 5870	48902.2983	1517	80442.57408	-28
862	 5871	48912.29877	1517	80322.57024	-28
863	 5872	48912.29877	1518	80142.56448	-28
