Путь 17.07.24_1_out.csv 17.07.24_2_in.csv 17.07.24_3_out.csv 17.07.24_4_in.csv 17.07.24_5_out.csv 17.07.24_6_in.csv 17.07.24_7_out.csv
59,000 0,12330985 0,28247936 -0,05982269 0,3389963 0,01143516 -0,00982748 -0,11625806
60,000 -0,02219265 0,10390747 0,01030811 0,17319707 -0,17947812 -0,11441777 -0,26740774
61,000 -0,12433852 0,23941902 -0,05086839 0,12292506 -0,30598297 -0,16243001 -0,16975138
62,000 -0,12924923 0,17190842 -0,14198344 -0,01462643 -0,34672899 -0,23126544 -0,45518346
63,000 0,00334958 0,25592878 -0,05720649 0,19963576 -0,26639002 -0,1810048 -0,44006368
64,000 0,13250896 0,32473707 0,12344245 0,42961589 -0,18487068 -0,01782706 -0,26420292
65,000 0,15464863 0,45837905 0,22330833 0,44858975 -0,08386028 0,11371744 -0,17590297
66,000 0,2927286 0,60494173 0,33315513 0,50851516 0,22134669 0,20055542 -0,04395054
67,000 0,27271171 0,61743373 0,37309313 0,5829671 0,10730661 0,22419483 0,0206608
68,000 0,27952069 0,70480639 0,36121266 0,56076432 0,2196406 0,2895478 -0,03854094
69,000 0,27068831 0,76376502 0,49799556 0,73846902 0,26122379 0,34396856 0,26387685
70,000 0,37372072 0,85992401 0,4027851 0,61726189 0,23505969 0,346134 0,3017905
71,000 0,32565997 0,79385439 0,40328494 0,47680853 0,16834003 0,27585073 0,08296174
72,000 0,23121676 0,53827131 0,2767387 0,47300981 0,17800079 0,18619949 -0,00768428
73,000 0,26382508 0,49340927 0,09650675 0,44649531 -0,01183071 0,1305553 -0,01323129
74,000 -0,16800029 0,30303668 -0,12156786 0,12191709 -0,10738473 -0,1321844 -0,23290045
75,000 0,03174981 0,26921489 -0,21737936 0,11427911 -0,19548048 -0,1944944 -0,35741443
76,000 0,00410785 0,48844184 -0,05658857 0,24331372 -0,25214728 -0,12393706 -0,29685923
77,000 0,19917925 0,6208746 0,03170655 0,33475392 -0,04486723 0,0563782 -0,25071425
78,000 0,42724048 0,44519902 0,33046291 0,52829605 0,07002047 0,28811203 0,08373872
79,000 0,60858958 1,08733042 0,50798402 0,82689381 0,33686667 0,51686367 0,23066471
80,000 0,72336385 1,07152775 0,81717853 1,00100736 0,65792557 0,68057523 0,50168295
81,000 0,81776202 1,03813195 0,76452009 1,1086048 0,54657464 0,72858875 0,50680668
82,000 0,86532915 1,03499061 0,84629125 1,03215625 0,66870421 0,61736181 0,55218583
83,000 0,81001256 0,97547719 0,810934 1,15492505 0,59652203 0,50046526 0,48163995
84,000 0,48169263 0,77847988 0,64436608 0,76415915 0,40805041 0,5365536 0,40527072
85,000 0,2945957 0,60694891 0,23617463 0,42617963 0,18803799 0,25199023 0,32385929
86,000 0,26737552 0,42615219 0,25947656 0,38980789 -0,30373542 0,18300371 0,04686907
87,000 0,48872505 0,73298621 0,58460194 0,71027277 0,24765056 0,43792831 0,20930324
88,000 0,59947996 0,79277633 0,71185744 0,83134834 0,36270154 0,63474418 0,32741823
89,000 0,2227297 0,51362173 0,58535239 0,77877348 0,29317142 0,49403089 0,4135576
90,000 0,24985155 0,59943228 0,13548789 0,54075612 0,32564742 0,30053043 0,03390536
91,000 0,19139805 0,55230323 0,31017087 0,58234805 0,16676067 0,2383507 0,02434818
92,000 0,3999131 0,57239568 0,26359244 0,63242363 0,05128202 0,23244318 0,07428194
93,000 0,26842632 0,57317743 0,34395163 0,59704487 0,15746412 0,2014602 0,03973779
94,000 0,29120745 0,55587877 0,27297762 0,52666929 0,08856942 0,20603994 0,03670708
95,000 0,33209218 0,66841342 0,40927589 0,50901664 0,09789024 0,2627596 -0,12084109
96,000 0,53109461 0,73303008 0,42921333 0,57845874 0,2626494 0,39435308 0,30560431
97,000 0,35252579 0,87298641 0,50038382 0,74074887 0,32235975 0,41386324 0,30395104
98,000 0,37400647 0,8586646 0,45792825 0,60552898 0,28311416 0,39995068 -0,00411918
99,000 0,39984071 0,70771208 0,36015047 0,73503664 0,38806082 0,37397251 -0,10068568
100,000 0,44215798 0,54624405 0,40315039 0,5416518 0,19177866 0,318354 0,03276205
101,000 0,31622016 0,58992728 0,01200819 0,49328706 0,17283291 0,25789775 -0,0317469
102,000 0,43800158 0,52058247 0,32707916 0,56251086 0,22549321 0,26187659 0,1435127
103,000 0,41090638 0,63213092 0,40702851 0,4936514 0,33122891 0,26026624 0,16537332
104,000 0,42605097 0,46312227 0,50382109 0,6603998 0,19134021 0,38326135 0,19805246
105,000 0,60599039 0,64458294 0,47855773 0,64920897 0,35324927 0,43427294 0,33039409
106,000 0,45512317 0,86270121 0,56739419 0,6953927 0,46628228 0,33452039 0,3240179
107,000 0,54072755 0,8428726 0,5615103 0,61924925 0,29516805 0,47481227 -0,2930864
108,000 0,46171463 0,69724805 0,25906485 0,66495387 0,23761093 0,08479962 0,20238401
109,000 0,90701554 0,97662131 0,8657791 1,0511227 0,6832466 0,79568228 0,70810594
110,000 0,70881285 1,0189323 0,7318163 1,00121432 0,64519615 0,69305525 0,54465799
111,000 0,55130536 0,83087842 0,63110363 0,81343151 0,66176716 0,56934863 0,63786274
112,000 0,40064432 0,90578829 0,6695767 0,7654288 0,59517057 0,55446263 0,39800874
113,000 0,49596012 0,59098481 0,57512902 0,57855184 0,42665869 0,45450039 0,41597073
114,000 0,4071985 0,68179638 0,37306581 0,54164704 0,27982089 0,34490034 0,22741875
115,000 0,42986746 0,84376709 0,3818299 0,57712842 0,27682233 0,36527701 0,36202994
116,000 0,51350949 0,65285009 0,58186761 0,58417145 0,33123845 0,43634928 0,49871227
117,000 0,52278651 0,68784647 0,28339617 0,59994648 0,35273715 0,39964141 0,41699239
118,000 0,46479442 0,55286928 0,42428279 0,5393174 0,25859143 0,41916681 0,33540319
119,000 0,43826228 0,65686416 0,52583104 0,57445931 0,35160615 0,45994339 0,25229701
120,000 0,46409035 0,70199448 0,42674153 0,61118277 0,30620941 0,35202342 0,40486762
121,000 0,34532293 0,65397595 0,48463615 0,49586516 0,44889994 0,38597858 0,32190234
122,000 0,3546649 0,58202035 0,41627607 0,49938237 0,26103055 0,1926522 0,27604167
123,000 0,19210928 0,61812389 0,50836922 0,56219492 0,27053626 0,24777247 0,34556294
124,000 0,49634684 0,72996239 0,25962118 0,60753166 0,315489 0,38918677 0,27939205
125,000 0,52174591 0,78690544 0,46874589 0,55517162 0,31120785 0,38098411 0,34182388
126,000 0,55914345 0,70663519 0,45647369 0,72816506 0,30961197 0,40380381 0,38825345
127,000 0,54454693 0,83662943 0,4442099 0,77929268 0,35508034 0,40199749 0,35591647
128,000 0,48370186 0,79992731 0,49826268 0,68005584 0,24807929 0,36994511 0,23865166
129,000 0,47769181 0,76442051 0,41231705 0,62618996 0,41175607 0,37231965 0,33292796
130,000 0,19366852 0,72586588 0,37057718 0,49578885 0,25423643 0,2439522 0,21012177
131,000 0,41566344 0,65606396 0,34037268 0,53723204 0,20941953 0,3316264 0,18854851
132,000 0,38073711 0,78292953 0,42824764 0,62622529 0,14001611 0,34903375 0,3722575
133,000 0,48842041 0,67767704 0,51057401 0,63321695 0,38383471 0,38023968 0,37712349
134,000 0,44907427 0,75932149 0,46482164 0,61465514 0,39800926 0,36821923 0,41214594
135,000 0,43317323 0,57568391 0,4030198 0,57614563 0,30633691 0,37791776 0,38470161
136,000 0,43738224 0,63819783 0,39895923 0,51960944 0,26775879 0,5151409 0,27451497
137,000 0,55795548 0,58004801 0,39770689 0,52206746 0,24849119 0,08025978 0,39668594
138,000 0,48114264 0,64786295 0,45714588 0,65742328 0,25820662 0,02179753 0,24944772
139,000 0,40132969 0,68534038 0,40282652 0,62566455 0,3057863 0,40070441 0,38980623
140,000 0,64823497 0,69285875 0,5707919 0,68429854 0,28495985 0,46913345 0,45551384
141,000 0,42742166 0,58915072 0,43502155 0,56580404 0,40040441 0,4092597 0,34107267
142,000 0,41653037 0,52243613 0,31892423 0,51122891 0,25335468 0,3095844 0,22809585
143,000 0,45207106 0,52851316 0,35468171 0,468199 0,15881918 0,24295964 0,04800484
144,000 0,62126892 0,82983026 0,61612476 0,68674621 0,36032551 0,47798536 0,40694923
145,000 0,46387664 0,61537594 0,32096558 0,65184315 0,44802297 0,43739577 0,36268211
146,000 0,51767817 0,66965513 0,351942 0,63382132 0,32511078 0,39093833 0,25016727
