Путь 17.07.24_1_out.csv 17.07.24_2_in.csv 17.07.24_3_out.csv 17.07.24_4_in.csv 17.07.24_5_out.csv 17.07.24_6_in.csv 17.07.24_7_out.csv
60,000 61,9276091 61,81658103 61,96204201 61,88584075 62,02229294 62,01843698 62,02125955
61,000 61,8905262 61,81056771 61,91320498 61,8415345 62,00568561 62,02357233 61,98363137
62,000 61,9068815 61,84268627 61,93535375 61,86789348 61,9577222 61,98112434 61,98506027
63,000 61,90933456 61,8942871 61,94720514 61,91722349 61,99373199 61,97460661 61,99039853
64,000 61,9884553 61,93445619 62,02763417 61,94513235 62,04401577 61,978658 62,03970697
65,000 62,09364099 61,97038492 62,11484306 61,97917926 62,12612237 62,00301508 62,11338281
66,000 62,04571536 61,91245008 62,07868734 61,938267 62,16562942 61,96001353 62,15399491
67,000 61,91827338 61,82820049 61,96235515 61,94584018 62,0529318 61,89436308 62,03312105
68,000 61,94032097 61,84932385 61,97196887 61,92761939 62,01166956 61,90747743 62,00736397
69,000 61,92403682 61,86242821 61,96663682 61,93614243 62,01988193 61,926152 62,01480115
70,000 61,97961261 61,90214554 62,01642826 61,96055497 62,04330327 61,94508848 62,0501548
71,000 61,99960158 61,91132434 62,02526016 61,98455084 62,06028443 61,94306273 62,06601715
72,000 62,09813999 61,93433653 62,12816566 61,9735752 62,14133676 61,9198794 62,15424392
73,000 61,87037444 61,79442419 61,93201894 61,8560871 62,08660787 61,8019246 62,0379149
74,000 61,88033777 61,80098027 61,89868998 61,87416886 61,92594184 61,8090474 61,93532527
75,000 61,90138865 61,85792596 61,9272648 61,90133694 61,97295576 61,83028227 61,98089918
76,000 61,9839408 61,88587282 62,02529807 61,94214202 62,02605855 61,86950042 62,05315563
77,000 61,98136293 61,85568187 62,0248228 61,93386613 62,10787618 61,90393314 62,10428917
78,000 61,92261851 61,86562151 61,96652383 61,89911096 62,0536208 61,9285358 62,03955926
79,000 61,87510157 61,81437107 61,91683318 61,8932217 61,98645493 61,97206998 61,97439524
80,000 61,95124219 61,88638978 61,98338696 61,95026603 62,01202639 62,02217935 62,02079741
81,000 61,97578444 61,96076 62,01998113 61,98929998 62,06612669 62,03884886 62,06992444
82,000 62,04059723 62,03926865 62,082189 62,07747586 62,10483227 62,04242053 62,10556839
83,000 62,12883705 62,07740502 62,15710408 62,10997001 62,18389675 62,0865228 62,17684302
84,000 62,18269032 62,05443626 62,21094274 62,13515733 62,25759103 61,99491663 62,25729032
85,000 62,14674845 61,8655467 62,18089647 62,00814974 62,26676526 61,85859195 62,24301215
86,000 61,87833214 61,8086277 61,92392194 61,76777186 62,16341939 61,86951942 62,07816365
87,000 61,69073124 61,86895981 61,72841379 61,77983458 61,8362568 61,90658995 61,7871234
88,000 61,84783614 61,90238008 61,8769731 61,85270633 61,86967246 61,96044551 61,87127459
89,000 61,99794596 61,97358346 62,02589261 61,96231628 62,02299491 61,98746247 62,04134041
90,000 62,02826369 61,99242726 62,05614289 62,01016759 62,08213842 62,00782446 62,08462703
91,000 62,01990149 61,95983061 62,05164833 62,02354828 62,12240447 62,01900144 62,10866542
92,000 62,04579498 61,98616014 62,08774198 62,03026349 62,11280369 62,01942322 62,11505354
93,000 62,03970051 61,96837262 62,08974482 62,02516043 62,15189236 62,03736285 62,1481741
94,000 62,01605814 62,00363612 62,0514407 62,03960065 62,1354 62,06103497 62,13259009
95,000 62,04329709 62,0181536 62,07284067 62,08077214 62,10677501 62,08507824 62,09611243
96,000 62,10952961 62,10049804 62,15075576 62,14263839 62,19378318 62,11812858 62,18204131
97,000 62,11283363 62,11390464 62,14867306 62,13482103 62,2152298 62,11736636 62,20142596
98,000 62,06559903 62,10381315 62,10424699 62,12470201 62,17919481 62,08586726 62,16050297
99,000 62,13470478 62,14836771 62,16505049 62,13324059 62,17437975 62,05255135 62,17122197
