Путь Время,mc Скорость Отметка Шаблон Статус Курс Крен Тангаж Vn Ve Vh Широта Долгота Высота Ax Ay Az 
784,41424560547 34708 -1,62378 <_____> 1517,05 <Интегр-Навиг> 45,919 -0,0618354 -0,216463 2,52651 -2,19668 0 55,75866167372 37,72845330831 180,50061035156 -0,0275746 9,79083 -0,0219361
784,18865966797 34920 -1,62378 <_____> 1517,05 <Интегр-Навиг> 45,9048 0,0328768 -0,230418 2,58159 -2,23204 0 55,75866299154 37,72845127687 180,50926208496 0,139631 9,53897 0,0487717
783,96313476563 35128 -1,624 <_____> 1517,05 <Интегр-Навиг> 45,8701 0,110206 -0,268076 2,64003 -2,29403 0 55,75866438076 37,72844913087 180,51805114746 -0,430965 9,76943 -0,0859546
783,73760986328 35334 -1,624 <_____> 1517,05 <Интегр-Навиг> 45,87 -0,0012432 -0,273516 2,67537 -2,32925 0 55,75866574586 37,72844701828 180,52670288086 0,00245753 9,90141 -0,154924
783,51208496094 35533 -1,62378 <_____> 1517,66 <Интегр-Навиг> 45,8964 0,0863559 -0,280756 2,75029 -2,39854 0 55,75866705516 37,72844498987 180,53485107422 0,165082 9,81394 -0,200683
783,28656005859 35732 -1,62378 <_____> 1518,27 <Интегр-Навиг> 45,9409 0,104799 -0,28636 2,72227 -2,37098 0 55,75866790239 37,72844251448 180,38685607910 -0,226385 9,56761 -0,104985
783,06103515625 35930 -1,62378 <_____> 1518,67 <Интегр-Навиг> 46,0111 0,0280304 -0,283821 2,77708 -2,39657 0 55,75866926954 37,72844040416 180,39367675781 0,0474555 9,57797 -0,0765191
782,83544921875 36123 -1,62378 <_____> 1518,27 <Интегр-Навиг> 46,0485 -0,0210476 -0,299393 2,84204 -2,46602 0 55,75867062015 37,72843831986 180,40013122559 -0,0294361 9,53938 -0,162194
782,60992431641 36313 -1,624 <_____> 1517,66 <Интегр-Навиг> 46,0871 0,0455074 -0,289532 2,90565 -2,53458 0 55,75867196083 37,72843624504 180,40643310547 -0,149855 9,8995 -0,00270829
782,38439941406 36499 -1,624 <_____> 1517,26 <Интегр-Навиг> 46,1262 0,0123286 -0,280828 2,89785 -2,52385 0 55,75867331260 37,72843415326 180,41267395020 0,0735023 9,92627 -0,100823
782,15887451172 36687 -1,62378 <_____> 1517,05 <Интегр-Навиг> 46,1518 -0,0180634 -0,28046 2,89064 -2,51442 0 55,75867413032 37,72843175426 180,30009460449 0,0720758 9,72249 0,17352
781,93334960938 36874 -1,62378 <_____> 1516,85 <Интегр-Навиг> 46,1636 0,0521797 -0,267143 2,9029 -2,51583 0 55,75867547766 37,72842966872 180,30514526367 0,372471 9,4584 0,212512
781,70776367188 37060 -1,62378 <_____> 1516,45 <Интегр-Навиг> 46,1584 -0,0318386 -0,275633 2,94603 -2,57092 0 55,75867678482 37,72842764496 180,30987548828 0,330329 10,2149 -0,0781901
