acceleration_X acceleration_Y acceleration_Z angular_velocity_X angular_velocity_Y angular_velocity_Z
23 23 983 4 3 -36
47 0 1007 13 10 -43
0 0 983 8 6 -21
23 0 1007 8 6 -21
71 -47 983 6 -5 -16
23 0 1007 21 -6 -26
47 0 983 25 -4 -9
0 -23 959 14 -10 -12
0 0 1007 14 -10 -12
23 -47 1007 7 -4 -10
0 0 983 1 12 -8
0 0 1031 18 21 -21
23 0 935 16 2 -10
0 -23 1007 16 2 -10
23 0 959 16 -9 0
23 -23 983 -2 0 -6
-23 -47 935 -2 0 -17
47 0 959 11 7 -15
47 0 983 11 7 -15
0 -23 1007 25 8 -13
23 0 1007 20 3 -1
95 0 959 7 17 -20
23 0 983 7 -10 0
23 -23 983 7 -10 0
23 0 983 -9 3 -15
47 -23 959 -22 9 -16
47 -23 1007 -3 -1 -17
23 -47 1007 0 5 3
0 -23 935 0 5 3
0 0 983 -4 7 -3
47 0 1031 12 15 -21
23 0 983 19 16 -25
0 -23 959 13 -4 -24
47 -47 983 13 -4 -24
47 0 1007 -10 -19 -5
71 0 983 -3 -16 -21
23 0 1007 6 -1 -9
0 0 1007 8 -2 -9
0 -47 959 8 -2 -9
47 -47 1031 -2 -6 -23
71 -23 959 10 -11 -29
0 0 983 10 -12 -19
71 0 983 3 -7 -4
47 -47 983 3 -7 -4
23 0 983 14 6 -26
23 0 1007 6 14 -16
23 0 983 5 21 -11
23 0 959 0 0 12
0 0 1007 0 0 12
0 0 1007 7 0 -4
23 -47 983 13 -4 10
23 0 983 17 -5 0
23 0 983 7 11 -27
23 -47 935 7 11 -27
0 23 959 -7 -5 -27
47 0 983 -13 -4 -17
0 -47 1007 1 -3 -27
0 0 959 14 0 -39
23 -23 983 14 0 -39
23 0 983 3 22 -16
47 -23 1007 -7 11 -20
95 -23 1031 0 4 -16
23 -23 983 3 5 -8
0 0 1031 3 5 -8
0 -23 1007 7 2 -18
47 0 983 3 8 -31
47 0 1007 0 5 -18
47 0 983 0 0 -12
47 0 1007 0 0 -12
23 -23 983 -3 -9 -8
23 23 983 12 -9 -12
23 -23 1031 26 -4 -17
0 -23 1007 5 5 -6
71 -23 983 5 5 -6
0 0 959 3 6 1
0 0 959 0 18 0
-23 -23 983 7 7 -9
23 -23 1007 11 4 -31
23 0 1031 11 4 -31
47 0 1007 12 -4 -40
0 -23 983 -2 3 -24
0 0 959 -29 8 -12
47 0 1007 -29 8 -8
0 0 1031 -1 -2 -8
0 0 983 10 -6 -13
47 -95 983 0 -5 -14
47 -23 983 -9 2 -33
0 0 983 -9 2 -27
23 0 983 -17 17 -27
0 -23 959 -24 7 -18
23 -47 1007 -9 -5 -22
23 -23 983 6 -4 -26
71 -23 1007 6 -4 -26
47 0 983 -2 -4 -13
0 0 983 0 -4 -10
23 -23 1007 13 5 -22
23 -23 959 -15 10 -41
47 0 983 -15 10 -41
47 0 1055 -20 -13 -26
0 47 1007 -4 -4 11
47 -23 983 0 -6 15
0 -23 1007 5 -5 -8
23 0 959 5 -5 -8
71 0 959 13 4 -1
-23 0 935 15 3 -2
0 0 1031 9 -12 1
23 0 959 -4 -7 -9
0 0 983 -4 -7 -9
71 0 1007 0 -4 -19
0 -23 1007 -9 0 -20
-23 23 959 -15 -2 -5
23 -23 1007 -6 -11 -4
47 -47 983 -6 -11 -4
47 0 959 7 -12 -36
23 -23 935 -7 1 -45
23 -23 983 13 7 -27
0 0 983 11 0 -16
23 23 959 11 0 -16
23 0 1007 8 19 -9
47 23 983 -4 2 -9
0 -23 983 2 -8 -12
0 0 959 0 -14 -10
47 23 983 0 -14 -10
23 0 1007 7 -2 6
23 -47 959 -4 -6 -28
23 23 1007 2 -5 -24
0 -47 983 4 2 -5
0 0 983 4 2 -5
47 0 1031 9 4 1
47 -23 959 5 -5 -34
23 0 1031 18 -5 -10
47 0 983 9 -2 -28
47 -23 983 9 -2 -28
23 0 983 19 13 -21
23 0 1007 2 15 -25
47 -47 983 2 9 -28
23 0 935 16 18 -13
0 23 959 16 18 -13
47 -23 1007 21 -6 -30
0 0 1007 11 10 -29
0 -47 983 -6 9 0
23 0 1007 5 8 4
47 -23 1007 5 8 4
47 -47 959 1 17 -8
23 -23 1007 5 1 -33
0 0 1007 12 4 -40
47 0 935 6 2 -29
0 -23 1031 6 2 -29
23 -23 983 -10 -2 -18
23 0 983 2 1 -38
47 23 959 15 8 -19
0 0 1031 30 13 -16
23 0 1007 30 13 -16
0 -23 959 2 6 -31
23 23 983 2 -4 -15
23 0 983 -2 7 -4
23 0 1007 -1 19 -25
23 -23 959 -1 19 -25
23 0 959 22 10 1
0 0 983 27 6 -21
0 0 959 6 -12 -14
0 -23 959 6 -7 -8
0 -23 959 6 -7 -8
0 -23 1007 5 -3 -3
0 -23 983 0 6 -18
47 -47 959 12 6 -24
23 -23 959 7 10 -21
23 0 983 7 10 -21
47 0 959 12 -5 -24
23 0 1007 -4 8 -11
47 0 983 9 15 -24
23 0 983 17 15 -45
0 0 983 17 1 -45
23 0 1007 8 3 -27
23 0 983 17 0 -26
95 -23 983 19 -11 -4
0 0 959 19 -11 6
0 0 1007 -8 -8 6
47 -23 983 4 12 0
23 -47 983 10 -1 -18
0 0 1007 6 -18 -18
47 -23 959 6 -18 -18
71 0 1031 -7 -8 -12
23 -23 983 14 0 -11
47 -23 983 17 4 -35
23 0 1031 8 7 -46
0 -23 959 8 7 -46
47 0 1007 -12 -9 -19
0 47 983 -3 -10 -34
23 -23 983 5 -12 -33
0 -47 935 -2 -4 -17
0 0 983 -2 -4 -17
0 0 1031 -5 -6 -2
23 0 959 -19 0 4
0 -23 935 2 -4 -23
23 -23 959 0 -4 -11
23 0 1007 0 -4 -11
23 -23 983 22 4 -17
0 23 983 20 11 -28
0 -23 1031 9 10 -21
0 -23 959 4 -12 -22
0 0 983 4 -12 -22
47 -23 983 22 -15 -31
47 23 983 10 0 -42
47 -23 983 13 0 -4
23 -23 1007 13 -6 -21
23 -23 1007 13 -6 -21
0 23 935 16 -2 -42
23 23 1007 15 4 -8
23 0 1007 3 8 -3
0 0 983 -6 14 -2
71 0 959 -6 14 -2
0 0 959 6 12 -12
23 0 959 3 3 -17
47 0 959 1 11 -19
0 0 983 11 14 -8
0 0 1007 11 14 -8
23 23 983 12 27 -17
47 -23 935 -6 13 -3
0 -47 959 -10 6 7
71 23 983 -15 -12 -18
71 -23 983 -15 -12 -18
23 0 983 11 -8 -42
47 -23 1007 16 3 -21
23 0 1007 6 17 -10
0 0 1055 10 6 -11
47 23 1007 10 6 -11
0 23 983 -3 -17 13
47 0 983 -3 3 4
47 0 1007 0 -2 13
0 -47 983 2 0 -11
23 0 1031 2 0 -11
47 -23 1007 0 -10 -17
23 -23 935 0 -2 3
23 0 959 -8 15 1
47 -23 959 13 16 -7
