acceleration_X acceleration_Y acceleration_Z angular_velocity_X angular_velocity_Y angular_velocity_Z
8224 16160 31039 8224 8224 8224
8224 16160 2307 8224 16160 8224
16160 2563 29984 30073 8313 8224
16249 8255 31097 31087 8224 8224
16160 29955 1401 544 8224 8224
16160 8195 16160 16249 8255 16160
8224 1824 8196 16160 8255 8224
8224 42784 30979 4217 1312 8224
16160 29955 1145 288 8224 8224
16160 2307 288 29984 8313 8224
8224 16160 31039 8197 8255 8224
8224 16160 1312 544 8224 8224
8224 42784 1027 8224 16160 8224
16160 259 544 16160 8255 9248
16160 30979 28537 30073 8313 8224
8224 16160 259 8224 31008 8313
8224 16160 8196 8197 31087 8224
8224 16160 1056 16160 8224 17184
8224 16160 31087 8196 8209 8224
8224 16160 8199 31097 31097 8224
16249 1031 8224 31097 8255 8224
8224 16160 16191 8204 8224 8224
16160 16131 2681 8224 8224 1056
16160 16132 1087 8224 8224 14368
16160 2563 8224 16160 8255 31008
8224 16160 2336 16160 8224 15392
8224 16160 8207 8197 31039 8224
16249 515 800 28448 8313 8224
8224 1824 29956 28537 16249 8224
8224 16160 16160 8224 8224 26144
8224 16160 3843 2848 1056 8224
16160 4671 16160 3193 8224 8224
16160 16131 1913 16160 8255 2336
16160 1283 1824 8224 8224 8224
8224 16160 28448 889 8224 8224
8224 16160 8202 31093 8197 8224
16160 5183 2336 16160 8224 11808
8224 16160 8224 8224 16191 8224
16160 29956 1401 16160 8313 8224
8224 16160 31093 8196 8255 8224
16160 16131 1568 8224 8224 9248
16160 29955 2425 288 8224 8224
8224 1824 8196 3872 16160 8224
16160 16131 16249 377 8224 8224
16249 2052 544 16160 8255 11296
8224 16160 8224 1056 8224 8224
16160 2051 8224 8224 8224 8224
16160 2307 2592 544 8224 8224
8224 16160 31087 8224 8255 8224
8224 16160 1539 4640 16160 8313
8224 16160 8202 8202 8255 8224
8224 16160 8195 31039 8224 8224
8224 16160 28537 30073 8313 8224
8313 16160 771 16160 30073 8313
16160 16249 31008 30073 8313 8224
8224 1824 29956 8313 16160 8224
8224 16160 377 16160 8224 12064
16160 2051 2592 29984 8313 8224
8224 1824 30980 1401 16160 8255
8224 16160 29955 377 16160 8224
5920 16160 29984 16249 8224 19744
8224 16160 8195 8195 16191 8224
8224 1824 1028 28448 8313 8224
16160 575 29984 16249 8224 16160
16160 2051 544 16160 8255 31008
8224 16160 8195 31039 8255 8224
8224 16160 8204 8193 31087 8224
16160 2563 16160 16249 8255 4128
16160 3843 16160 16249 8255 23584
8224 16160 8224 16191 8224 8224
5920 16160 8224 31093 31093 8224
8224 16160 2819 16160 16249 8313
16160 30979 16249 31097 8313 8224
8224 16160 29984 16249 8224 23584
16160 30015 30073 16249 8224 16160
8313 16160 8204 16191 8224 8224
8224 16160 8204 8196 8255 8224
8224 16160 31039 8204 31039 8224
8224 16160 1283 28448 3193 8224
16160 1539 1056 31008 8313 8224
16160 831 8210 8224 31093 8224
16160 1027 31008 1913 8224 8224
