acceleration_X acceleration_Y acceleration_Z angular_velocity_X angular_velocity_Y angular_velocity_Z
0 -23 983 -4 2 -21
0 -23 1031 0 -20 -18
-23 0 1007 -4 -3 1
0 -23 1007 0 3 -12
23 -23 959 0 3 -12
47 0 1007 2 9 -18
23 23 959 0 16 -22
0 0 1007 -3 1 -11
0 -47 959 4 15 -23
23 -23 959 4 15 -23
23 23 983 3 7 -36
23 0 959 9 0 -22
0 -23 1007 8 1 -15
23 -23 959 9 -3 -8
0 0 959 9 -3 -8
23 23 1031 6 -12 -17
0 -23 959 0 -3 -26
0 0 1031 0 -9 -3
-23 0 1031 -4 -9 -5
23 0 1007 -4 6 -5
0 23 1007 1 15 -18
0 -23 983 -1 -6 -39
23 0 1007 -10 11 -20
0 23 983 -10 11 -6
23 23 1031 -22 3 -6
23 -23 983 -4 0 -10
0 -71 983 12 4 6
0 23 983 25 -2 -7
0 0 983 25 -2 -7
0 -47 983 17 0 -21
23 0 983 0 0 16
23 0 959 17 -3 -14
0 -23 983 10 -1 -9
47 23 935 10 -1 -9
0 23 983 5 -1 -38
23 -47 983 11 11 -23
0 0 1007 -2 -4 -21
-47 0 1007 8 -8 -23
23 0 959 8 -8 -23
0 23 983 14 3 -22
47 0 983 0 0 -7
0 0 935 1 0 0
0 23 1031 9 8 -17
47 0 1007 9 8 -17
23 -23 983 19 20 -19
-23 0 983 16 -7 -20
0 0 1007 4 -2 -11
0 -23 983 8 -3 -23
23 -47 1007 8 -3 -23
0 0 1007 -6 9 4
23 -23 959 -4 9 15
0 0 1007 13 11 -11
0 0 1007 13 0 -32
-47 0 983 13 0 -32
-23 0 1031 12 11 -15
23 -23 1007 14 -2 -11
0 23 983 7 -6 -5
0 0 1007 1 7 21
-23 -71 959 1 7 21
23 0 1007 3 9 -2
0 0 959 -5 18 -29
0 0 983 3 8 -33
23 0 1007 10 -2 -38
-23 -23 959 10 -2 -38
0 0 1007 -10 -3 -35
0 -23 959 1 -10 -21
0 23 1007 -5 11 -16
0 23 1007 -5 17 -30
0 23 1031 -5 17 -30
23 0 983 5 0 -28
0 -23 959 5 -18 -28
0 0 983 5 -15 -43
0 0 983 0 -4 -37
23 0 1031 0 -4 -37
47 -23 959 -2 2 -32
0 -23 1007 -9 9 -23
71 0 1007 10 14 -13
0 0 935 10 18 -9
-23 -47 983 10 18 -9
0 0 959 6 9 -14
0 47 983 18 4 -13
0 0 959 12 3 -33
0 0 983 -7 -1 -18
0 -23 983 -7 -1 -18
0 -47 1007 -3 -10 13
0 0 1007 -5 -10 10
0 0 959 -14 10 -6
47 -23 959 15 21 -23
23 -47 983 15 21 -23
0 0 983 9 12 -6
47 23 983 5 0 -26
0 23 1007 15 -4 -35
-23 -23 911 21 -1 -11
0 -23 1007 21 -1 -11
0 0 935 18 -11 -26
-23 -23 1007 -7 -5 -21
0 0 1007 0 5 -35
0 -23 983 1 2 -42
0 -23 1007 1 2 -42
0 0 1007 -6 4 -30
23 -23 983 -5 14 -22
0 0 1007 15 4 -28
0 0 983 5 4 -31
0 -47 983 5 4 -31
0 0 983 3 -5 -15
0 0 1007 -5 -13 -4
0 0 959 -5 8 -10
0 -47 1007 4 0 -10
-23 -47 959 4 0 -10
0 -23 959 -1 -7 -20
0 0 983 3 -25 1
0 -47 1007 5 -11 5
0 0 983 15 -11 -17
23 0 959 15 6 -17
0 23 1007 2 13 -23
0 0 1007 8 6 -16
0 0 983 -1 11 -14
23 0 1007 -1 11 -12
0 0 983 0 0 -12
23 0 983 3 2 -8
23 0 1007 -6 7 -12
47 23 983 -14 0 -1
0 -23 983 -14 0 -1
0 -23 983 -13 1 -4
0 0 1007 -20 0 -33
-23 0 1031 -3 0 -26
23 0 983 1 13 -17
0 23 959 1 13 -17
0 0 983 -6 3 -7
0 23 983 -2 9 -5
-23 0 983 -5 -4 4
23 0 1031 6 7 -12
23 0 959 6 7 -12
23 0 1007 8 15 -21
0 0 983 9 14 -7
23 -23 983 14 17 -6
0 0 959 -5 5 -1
23 0 1055 -5 5 -1
0 -23 959 -10 12 -13
23 -23 983 -9 5 -8
0 -47 1007 20 10 -17
0 0 959 13 0 -11
23 0 935 13 0 -11
23 0 983 -2 -12 -25
0 -71 959 0 3 -37
47 0 959 -6 3 -17
0 0 1007 -7 2 -20
0 23 959 -7 2 -20
23 -23 1007 0 7 -18
23 -23 983 4 11 -20
0 -23 1007 -1 1 -22
23 0 1031 -5 -12 -12
0 23 983 -5 -12 -12
0 -47 1007 13 -6 -10
0 -23 983 7 -5 -5
47 23 1007 19 15 -11
0 0 983 19 16 -10
-23 -23 935 19 16 -10
23 0 1007 16 12 -27
0 -23 1007 5 7 -41
23 0 983 -4 -5 -32
23 -71 983 0 -1 -42
