acceleration_X acceleration_Y acceleration_Z angular_velocity_X angular_velocity_Y angular_velocity_Z
23 0 1031 2 9 2
23 -23 959 12 4 -23
47 0 959 15 0 -38
23 -23 983 7 8 -21
0 23 1007 3 8 0
-23 0 1007 3 -7 0
0 -23 1031 6 -6 17
23 -23 1031 15 -7 0
0 -23 983 -1 4 -1
0 0 1007 -1 4 -23
23 0 983 0 0 -23
0 -23 983 -6 -10 -29
0 0 983 8 3 10
0 0 983 16 -14 6
0 23 983 16 -14 6
47 0 1007 4 -9 8
23 -23 983 8 8 -16
0 23 935 6 10 -11
0 0 983 -4 20 -8
47 -23 983 -4 20 -8
23 0 959 -9 5 -11
23 0 1031 -2 0 -31
23 0 983 1 -10 -9
-23 -23 983 -9 -13 9
0 -23 959 -9 -13 9
0 0 1007 3 -6 1
0 0 983 4 -3 -15
0 0 983 4 -15 -10
23 0 1007 7 7 -2
0 0 959 7 7 -2
0 0 1007 -1 15 -17
0 -23 983 -9 13 -28
0 0 959 4 6 -28
0 0 1007 -9 10 -15
-23 0 983 -9 10 -15
0 0 1007 3 10 -25
-23 0 1007 -3 2 -28
23 -23 983 -6 -7 -3
0 0 983 -5 0 0
-23 -23 983 -5 0 0
23 -47 959 9 -4 -19
0 0 1007 18 7 -32
0 -47 983 16 0 -10
0 -23 983 7 10 -17
47 23 983 7 10 -17
0 0 983 14 2 4
0 23 983 8 -6 -13
0 0 983 -16 4 3
0 0 983 -10 -9 4
23 -23 959 -10 -9 4
23 23 1031 6 0 -9
23 0 1031 6 -1 -7
0 0 1007 6 3 -3
23 0 1007 9 19 -15
0 -47 959 9 19 -15
0 -23 983 10 16 -7
23 0 959 -4 5 -25
23 23 983 5 10 -23
47 -23 1007 0 -5 -25
0 -23 983 0 -5 -25
23 0 1007 0 -7 -8
0 0 1031 -12 3 -10
0 0 983 3 21 -15
0 0 1007 -3 -4 -8
0 -47 983 -3 -4 -8
0 -23 983 14 -6 -14
47 0 983 11 -4 -23
0 -23 983 10 7 -39
23 -47 935 9 -1 -37
23 0 935 9 -1 -37
23 0 1007 -3 -9 -9
47 -23 959 -21 -5 -1
47 -23 959 -7 -10 -8
0 0 1007 19 1 -35
23 0 959 19 1 -35
0 0 1007 18 5 -29
0 -23 1007 -8 6 -10
0 23 1007 -8 0 -11
23 0 935 -16 0 -3
-23 -23 1007 -16 0 -3
0 -23 983 -17 2 -26
23 0 983 -4 -1 -26
0 -47 1031 5 -7 -16
0 0 983 4 -18 -12
0 0 1007 4 -18 -12
47 0 983 0 -18 -20
0 0 959 3 -8 11
23 -47 1007 8 -6 27
23 -23 983 3 -6 1
23 -47 959 3 -6 1
23 0 1007 2 15 -20
0 0 959 -10 7 -23
23 -23 983 12 -11 -9
-23 -23 1055 21 -11 -20
0 0 983 21 2 -20
0 -23 1007 0 1 -17
0 0 935 6 22 -17
0 23 1031 -2 11 -2
0 0 959 -2 11 -11
23 0 959 1 -1 -11
0 0 1007 -4 -15 -6
0 0 935 0 -16 -5
0 0 983 8 -3 -28
0 0 935 8 -3 -19
0 -23 983 1 6 -19
23 -23 1031 -11 -2 9
0 0 983 8 -6 8
23 -23 983 -13 13 3
71 0 983 -13 13 3
0 -23 983 6 5 -7
0 -23 959 -1 -1 -12
0 0 983 -20 -6 -5
-23 0 983 -7 4 -9
0 0 983 -7 4 -9
0 0 1007 7 0 -33
47 0 1007 11 0 -29
0 0 959 12 0 -8
23 -23 1007 8 -8 -1
23 -47 1007 8 -8 -1
0 23 1031 7 -8 -18
23 -23 1007 14 3 -6
0 -71 1007 6 6 -3
0 -47 959 5 7 0
0 0 959 5 7 0
0 0 1007 -2 5 -3
-23 0 935 3 1 -23
23 -23 935 11 -4 -38
0 -47 1007 4 3 -27
0 0 1007 4 3 -27
0 -23 959 3 2 -36
0 -23 1007 -6 -3 -9
23 -23 1031 -6 -7 8
0 -47 983 -4 9 4
23 -23 983 -4 9 4
0 -23 959 5 10 -19
23 0 983 13 18 -6
23 0 959 -7 8 -8
0 -95 983 1 -11 12
0 -23 959 1 -11 12
0 0 983 7 -9 -10
23 -23 983 4 0 -11
23 -23 983 0 9 -14
0 0 1007 7 -6 -16
-23 0 935 7 -6 -16
23 23 1007 -10 -1 -24
0 0 935 1 -4 -11
23 0 1007 -8 1 -1
47 0 983 10 -3 -17
23 -47 935 10 -3 -17
47 0 959 4 -7 -18
23 -23 1007 9 1 10
0 -71 983 0 14 12
0 -23 959 9 11 -11
23 -47 959 9 11 -11
0 -23 1031 -3 -8 -17
0 -23 959 4 3 -13
0 -23 959 12 10 -2
47 0 1007 18 25 -8
0 0 959 18 25 -8
0 -23 1007 -3 12 -3
23 0 1031 -4 -8 -23
0 -23 959 -17 -17 -24
23 0 983 1 0 -34
23 0 983 1 0 -34
47 0 959 -18 -3 2
47 -23 983 -11 -8 20
0 -47 959 0 4 -1
0 -23 959 -18 1 -19
0 0 959 -18 1 -19
0 -23 983 3 -6 -37
0 -23 959 9 1 -33
23 0 983 -9 -17 -29
23 23 983 18 -1 -26
23 0 1007 18 -1 -26
-23 0 983 13 7 -26
47 0 959 0 -2 13
-23 -47 959 0 -18 17
0 -23 983 4 -12 -7
0 0 959 4 -12 -7
0 0 1007 2 6 -12
23 0 1007 -1 10 -28
0 0 983 -2 0 6
0 0 959 1 -4 16
23 23 983 1 -4 16
0 -23 1007 18 -12 -9
23 23 983 9 -14 -7
23 0 983 15 -5 5
0 -23 983 6 -5 -16
47 -23 983 6 -8 -16
0 -23 1007 -15 -3 -26
0 -71 959 -1 -16 -17
0 0 983 -6 -2 1
47 -23 959 -6 -2 3
0 -23 983 -4 17 3
0 -23 1031 6 14 -11
0 0 1007 -3 -2 -17
23 0 983 5 7 -31
47 -23 1007 5 7 -31
23 23 1007 1 1 -20
0 -23 959 -7 0 -14
0 0 1007 5 -2 -22
0 23 983 5 -5 -6
0 0 959 5 -5 -6
-23 -71 983 11 1 3
0 -47 1007 15 11 -24
0 0 983 -2 14 -34
23 -47 983 4 14 -37
0 0 959 4 14 -37
0 0 983 0 16 -11
0 0 983 0 7 -15
0 0 959 14 7 -6
-23 -23 959 -3 16 -6
47 -23 959 -3 16 -6
23 0 1007 -1 0 2
0 -47 983 1 3 -17
0 0 983 6 3 -22
-23 0 1007 10 2 -30
23 0 983 10 2 -30
0 -23 983 12 -9 -37
23 0 983 9 2 -24
23 -47 983 0 8 18
23 0 1007 -5 4 -14
0 0 959 -5 4 -14
0 -23 959 1 -1 -30
0 0 1007 7 3 -7
0 0 983 5 6 -3
0 0 983 10 2 -19
23 0 983 10 2 -19
0 0 983 11 -2 -21
23 0 983 10 17 -10
23 -47 983 10 9 0
0 -23 935 0 8 5
23 0 1007 0 8 5
-23 0 983 5 -6 -19
0 -23 959 5 2 -20
0 0 959 3 1 -5
71 -23 935 -2 -4 -9
0 -23 983 -2 -4 -9
47 0 959 4 5 -27
0 0 983 -6 0 14
47 -23 959 -26 21 -20
